Payment No,Type,Date,Name ID,Name,Method,Check/Ref No,Currency,Amount,Exchange Rate,Amount (USD),Applied To,Applied Amount,Unapplied
PAY-D-7678,Bill Payment,02/26/2026,V-1270,Santiam Canning Co.,CHECK,40215,USD,"11,171.16",1.0000,"11,171.16",B-21363,"11,171.16",0.00
PAY-D-7679,Bill Payment,02/26/2026,V-1276,Critter Guard Pest Control,CHECK,40216,USD,261.75,1.0000,261.75,B-20496,261.75,0.00
PAY-D-7680,Bill Payment,02/26/2026,V-1279,Willamette Valley Creamery,ACH,351289122406945,USD,"15,647.67",1.0000,"15,647.67",B-21273,"15,647.67",0.00
PAY-D-7681,Bill Payment,02/26/2026,V-1280,Grande Ronde Poultry,CHECK,40217,USD,"4,246.46",1.0000,"4,246.46",B-20845,"4,246.46",0.00
PAY-D-7682,Bill Payment,02/26/2026,V-1281,Boardman Tree Fruit,ACH,527513429042088,USD,"10,792.66",1.0000,"10,792.66",B-20487,"10,792.66",0.00
PAY-D-7683,Bill Payment,02/26/2026,V-1289,Blue Heron Preserves,CHECK,40218,USD,"9,279.88",1.0000,"9,279.88",B-20460,"9,279.88",0.00
PAY-D-7684,Bill Payment,02/26/2026,V-1294,Umpqua Oat Mill,ACH,108677459515572,USD,"14,391.09",1.0000,"14,391.09",B-21237,"14,391.09",0.00
PAY-D-7685,Bill Payment,02/26/2026,V-1299,Evergreen Box & Film,ACH,388102790709306,USD,"5,006.00",1.0000,"5,006.00",B-20019,"2,105.71",0.00
PAY-D-7685,Bill Payment,02/26/2026,V-1299,Evergreen Box & Film,ACH,388102790709306,USD,"5,006.00",1.0000,"5,006.00",B-20354,"2,900.29",
PAY-D-7686,Bill Payment,03/01/2026,V-1072,Gowen Field Commerce Park,ACH,107927222417969,USD,"4,875.00",1.0000,"4,875.00",B-20328,"4,875.00",0.00
PAY-D-7687,Bill Payment,03/01/2026,V-1167,Lombard Street Properties LLC,ACH,184537425699965,USD,"8,500.00",1.0000,"8,500.00",B-21051,"8,500.00",0.00
PAY-D-7688,Bill Payment,03/01/2026,V-1181,Duwamish Industrial Partners,ACH,890606755505347,USD,"6,420.00",1.0000,"6,420.00",B-21399,"6,420.00",0.00
PAY-D-7689,Bill Payment,03/03/2026,V-1042,Pacific Coast Packaging LLC,CHECK,40219,USD,"14,862.50",1.0000,"14,862.50",B-20931,"14,862.50",0.00
PAY-D-7690,Bill Payment,03/05/2026,V-1015,Deschutes Brewing Supply Co-op,ACH,784098088698786,USD,"14,421.40",1.0000,"14,421.40",B-21303,"14,421.40",0.00
PAY-D-7691,Bill Payment,03/05/2026,V-1020,Cascade Coldchain Logistics,CHECK,40220,USD,"3,497.20",1.0000,"3,497.20",B-21475,"3,497.20",0.00
PAY-D-7692,Bill Payment,03/05/2026,V-1023,Clearwater Creamery,ACH,741680252868260,USD,"24,261.53",1.0000,"24,261.53",B-20788,"9,464.67",0.00
PAY-D-7692,Bill Payment,03/05/2026,V-1023,Clearwater Creamery,ACH,741680252868260,USD,"24,261.53",1.0000,"24,261.53",B-20734,"14,796.86",
PAY-D-7693,Bill Payment,03/05/2026,V-1031,Tualatin Hazelnut Co.,CHECK,40221,USD,"8,687.07",1.0000,"8,687.07",B-20552,"8,687.07",0.00
PAY-D-7694,Bill Payment,03/05/2026,V-1042,Pacific Coast Packaging LLC,ACH,273270797850272,USD,"8,621.94",1.0000,"8,621.94",B-20524,"8,621.94",0.00
PAY-D-7695,Bill Payment,03/05/2026,V-1055,Wenatchee Pear Packers,CHECK,40222,USD,"12,820.43",1.0000,"12,820.43",B-21567,"12,820.43",0.00
PAY-D-7696,Bill Payment,03/05/2026,V-1058,Ridgeline Express,ACH,482840390320268,USD,"1,388.36",1.0000,"1,388.36",B-20652,"1,388.36",0.00
PAY-D-7697,Bill Payment,03/05/2026,V-1074,Scappoose Organic Farms,CHECK,40223,USD,"14,160.47",1.0000,"14,160.47",B-20978,"14,160.47",0.00
PAY-D-7698,Bill Payment,03/05/2026,V-1078,Rogue Valley Cheese Works,ACH,229216613061175,USD,"13,986.33",1.0000,"13,986.33",B-21216,"13,986.33",0.00
PAY-D-7699,Bill Payment,03/05/2026,V-1080,Mt. Hood Berry Farm,ACH,101084154233990,USD,"4,918.96",1.0000,"4,918.96",B-20125,"4,918.96",0.00
PAY-D-7700,Bill Payment,03/05/2026,V-1093,Cascade Trade Show Group,CHECK,40224,USD,"2,584.62",1.0000,"2,584.62",B-20168,"2,584.62",0.00
PAY-D-7701,Bill Payment,03/05/2026,V-1119,Cowlitz Creek Farms,ACH,989853996262899,USD,"15,736.76",1.0000,"15,736.76",B-20547,"15,736.76",0.00
PAY-D-7702,Bill Payment,03/05/2026,V-1127,Nooksack Berry Growers,ACH,281030900888645,USD,"15,620.67",1.0000,"15,620.67",B-20264,"15,620.67",0.00
PAY-D-7703,Bill Payment,03/05/2026,V-1128,Yakima Hop & Herb,ACH,182933022400329,USD,"9,263.05",1.0000,"9,263.05",B-20933,"9,263.05",0.00
PAY-D-7704,Bill Payment,03/05/2026,V-1142,Umatilla Specialty Produce,CHECK,40225,USD,"9,781.76",1.0000,"9,781.76",B-20800,"9,781.76",0.00
PAY-D-7705,Bill Payment,03/05/2026,V-1155,Pacific Fleet Fuel,ACH,510280050199821,USD,"1,888.15",1.0000,"1,888.15",B-20618,"1,888.15",0.00
PAY-D-7706,Bill Payment,03/05/2026,V-1161,Salem Pallet Recyclers,ACH,545501014079380,USD,"1,174.64",1.0000,"1,174.64",B-21309,"1,174.64",0.00
PAY-D-7707,Bill Payment,03/05/2026,V-1166,Crown Linen & Uniform,ACH,073998390498756,USD,689.15,1.0000,689.15,B-21087,689.15,0.00
PAY-D-7708,Bill Payment,03/05/2026,V-1173,Nisqually Salmon Co.,CHECK,40226,USD,"4,748.21",1.0000,"4,748.21",B-20729,"4,748.21",0.00
PAY-D-7709,Bill Payment,03/05/2026,V-1185,Mill Creek Temp Controls,ACH,327262140703234,USD,777.83,1.0000,777.83,B-21558,777.83,0.00
PAY-D-7710,Bill Payment,03/05/2026,V-1193,Chehalis Valley Eggs,ACH,064981052937907,USD,"7,860.46",1.0000,"7,860.46",B-20921,"7,860.46",0.00
PAY-D-7711,Bill Payment,03/05/2026,V-1200,Yamhill Charcuterie,CHECK,40227,USD,"13,794.68",1.0000,"13,794.68",B-20194,"13,794.68",0.00
PAY-D-7712,Bill Payment,03/05/2026,V-1204,Northwest Reefer Transport,ACH,130413361261099,USD,"3,825.33",1.0000,"3,825.33",B-20733,"3,825.33",0.00
PAY-D-7713,Bill Payment,03/05/2026,V-1224,Siuslaw Cranberry Growers,ACH,445726100485497,USD,"10,340.61",1.0000,"10,340.61",B-20128,"10,340.61",0.00
PAY-D-7714,Bill Payment,03/05/2026,V-1233,Lummi Bay Seafood,ACH,055755747435664,USD,"10,333.07",1.0000,"10,333.07",B-20574,"10,333.07",0.00
PAY-D-7715,Bill Payment,03/05/2026,V-1235,Bitterroot Bakehouse Supply,ACH,679829271979663,USD,"8,451.80",1.0000,"8,451.80",B-20999,"8,451.80",0.00
PAY-D-7716,Bill Payment,03/05/2026,V-1237,McKenzie River Mills,ACH,318371808218976,USD,"8,320.34",1.0000,"8,320.34",B-20570,"8,320.34",0.00
PAY-D-7717,Bill Payment,03/05/2026,V-1239,Newberg Nut Growers,ACH,263864679688610,USD,"10,185.59",1.0000,"10,185.59",B-20592,"10,185.59",0.00
PAY-D-7718,Bill Payment,03/05/2026,V-1242,Teton Valley Trout,ACH,484493047860707,USD,"25,442.34",1.0000,"25,442.34",B-21580,"14,846.22",0.00
PAY-D-7718,Bill Payment,03/05/2026,V-1242,Teton Valley Trout,ACH,484493047860707,USD,"25,442.34",1.0000,"25,442.34",B-20781,"10,596.12",
PAY-D-7719,Bill Payment,03/05/2026,V-1251,Payette Valley Beef,ACH,083551733378010,USD,"7,549.06",1.0000,"7,549.06",B-21356,"7,549.06",0.00
PAY-D-7720,Bill Payment,03/05/2026,V-1252,Snake River Trout Farms,ACH,118252054457895,USD,"13,213.95",1.0000,"13,213.95",B-21257,"13,213.95",0.00
PAY-D-7721,Bill Payment,03/05/2026,V-1255,Coquille Dairy Cooperative,ACH,949812491639586,USD,"10,811.78",1.0000,"10,811.78",B-21512,"10,811.78",0.00
PAY-D-7722,Bill Payment,03/05/2026,V-1266,Silvies River Lamb,CHECK,40228,USD,"13,521.15",1.0000,"13,521.15",B-20789,"13,521.15",0.00
PAY-D-7723,Bill Payment,03/05/2026,V-1270,Santiam Canning Co.,CHECK,40229,USD,"13,332.48",1.0000,"13,332.48",B-21508,"13,332.48",0.00
PAY-D-7724,Bill Payment,03/05/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40230,USD,"6,078.53",1.0000,"6,078.53",B-20146,"6,078.53",0.00
PAY-D-7725,Bill Payment,03/05/2026,V-1281,Boardman Tree Fruit,ACH,017278459815499,USD,"15,649.90",1.0000,"15,649.90",B-21269,"15,649.90",0.00
PAY-D-7726,Bill Payment,03/05/2026,V-1288,Wallowa Grass-Fed Beef,ACH,681502409576466,USD,"12,077.27",1.0000,"12,077.27",B-20469,"12,077.27",0.00
PAY-D-7727,Bill Payment,03/05/2026,V-1290,Columbia Gorge Orchards,ACH,131528994203609,USD,"14,225.98",1.0000,"14,225.98",B-20544,"14,225.98",0.00
PAY-D-7728,Bill Payment,03/05/2026,V-1291,Palouse Lentil Growers,ACH,949289753690157,USD,"12,300.99",1.0000,"12,300.99",B-20605,"12,300.99",0.00
PAY-D-7729,Bill Payment,03/05/2026,V-1292,Hermiston Melon Farms,ACH,748144895711199,USD,"9,378.63",1.0000,"9,378.63",B-20860,"9,378.63",0.00
PAY-D-7730,Bill Payment,03/05/2026,V-1187,"Pacific Coast Packaging, L.L.C.",ACH,021000089773052,USD,"14,862.50",1.0000,"14,862.50",B-21007,"14,862.50",0.00
PAY-D-7731,Bill Payment,03/12/2026,V-1003,Ridgewire Telecom,ACH,039226499251324,USD,"1,266.69",1.0000,"1,266.69",B-21160,"1,266.69",0.00
PAY-D-7732,Bill Payment,03/12/2026,V-1011,Klamath Basin Potato Co.,CHECK,40231,USD,"14,881.15",1.0000,"14,881.15",B-21416,"14,881.15",0.00
PAY-D-7733,Bill Payment,03/12/2026,V-1020,Cascade Coldchain Logistics,CHECK,40232,USD,"2,972.18",1.0000,"2,972.18",B-20318,"2,972.18",0.00
PAY-D-7734,Bill Payment,03/12/2026,V-1042,Pacific Coast Packaging LLC,ACH,279723401823993,USD,"9,289.60",1.0000,"9,289.60",B-20209,"9,289.60",0.00
PAY-D-7735,Bill Payment,03/12/2026,V-1045,Talent Bridge Staffing,ACH,637733033157569,USD,"5,509.99",1.0000,"5,509.99",B-21326,"5,509.99",0.00
PAY-D-7736,Bill Payment,03/12/2026,V-1074,Scappoose Organic Farms,CHECK,40233,USD,"14,116.38",1.0000,"14,116.38",B-20724,"14,116.38",0.00
PAY-D-7737,Bill Payment,03/12/2026,V-1077,Puget Sound Shellfish Co.,ACH,089045610858458,USD,"11,938.02",1.0000,"11,938.02",B-21350,"11,938.02",0.00
PAY-D-7738,Bill Payment,03/12/2026,V-1080,Mt. Hood Berry Farm,ACH,380207100520132,USD,"7,917.70",1.0000,"7,917.70",B-20743,"7,917.70",0.00
PAY-D-7739,Bill Payment,03/12/2026,V-1088,Oregon Tilth Certification,CHECK,40234,USD,920.40,1.0000,920.40,B-21415,920.40,0.00
PAY-D-7740,Bill Payment,03/12/2026,V-1119,Cowlitz Creek Farms,ACH,050501179072042,USD,"14,537.64",1.0000,"14,537.64",B-20506,"14,537.64",0.00
PAY-D-7741,Bill Payment,03/12/2026,V-1120,Columbia River Freightways,ACH,886493076682025,USD,"6,146.75",1.0000,"6,146.75",B-20593,"3,537.68",0.00
PAY-D-7741,Bill Payment,03/12/2026,V-1120,Columbia River Freightways,ACH,886493076682025,USD,"6,146.75",1.0000,"6,146.75",B-20752,"2,609.07",
PAY-D-7742,Bill Payment,03/12/2026,V-1124,Coos Bay Crab Co.,CHECK,40235,USD,"11,098.20",1.0000,"11,098.20",B-20158,"11,098.20",0.00
PAY-D-7743,Bill Payment,03/12/2026,V-1127,Nooksack Berry Growers,ACH,990777556419921,USD,"11,754.84",1.0000,"11,754.84",B-21019,"11,754.84",0.00
PAY-D-7744,Bill Payment,03/12/2026,V-1128,Yakima Hop & Herb,ACH,944578611253810,USD,"15,173.35",1.0000,"15,173.35",B-20344,"15,173.35",0.00
PAY-D-7745,Bill Payment,03/12/2026,V-1132,Rose City Tire & Auto,CHECK,40236,USD,934.72,1.0000,934.72,B-20223,934.72,0.00
PAY-D-7746,Bill Payment,03/12/2026,V-1136,Hells Canyon Honey,CHECK,40237,USD,"4,163.73",1.0000,"4,163.73",B-20226,"4,163.73",0.00
PAY-D-7747,Bill Payment,03/12/2026,V-1142,Umatilla Specialty Produce,CHECK,40238,USD,"7,981.98",1.0000,"7,981.98",B-21170,"7,981.98",0.00
PAY-D-7748,Bill Payment,03/12/2026,V-1147,Oregon Coast Seafood Traders,CHECK,40239,USD,"10,580.64",1.0000,"10,580.64",B-21469,"10,580.64",0.00
PAY-D-7749,Bill Payment,03/12/2026,V-1151,Walla Walla Onion Growers,ACH,322339405504821,USD,"12,354.17",1.0000,"12,354.17",B-21221,"12,354.17",0.00
PAY-D-7750,Bill Payment,03/12/2026,V-1155,Pacific Fleet Fuel,ACH,455537962312090,USD,"4,578.17",1.0000,"4,578.17",B-21222,"4,578.17",0.00
PAY-D-7751,Bill Payment,03/12/2026,V-1198,Emerald City Cold Storage,ACH,349674112962128,USD,"2,372.82",1.0000,"2,372.82",B-20218,"2,372.82",0.00
PAY-D-7752,Bill Payment,03/12/2026,V-1200,Yamhill Charcuterie,CHECK,40240,USD,"5,616.90",1.0000,"5,616.90",B-20946,"5,616.90",0.00
PAY-D-7753,Bill Payment,03/12/2026,V-1205,Methow Valley Apples,ACH,247401395625439,USD,"21,879.99",1.0000,"21,879.99",B-21059,"10,975.28",0.00
PAY-D-7753,Bill Payment,03/12/2026,V-1205,Methow Valley Apples,ACH,247401395625439,USD,"21,879.99",1.0000,"21,879.99",B-21394,"10,904.71",
PAY-D-7754,Bill Payment,03/12/2026,V-1206,Pend Oreille Wild Rice,CHECK,40241,USD,"6,648.00",1.0000,"6,648.00",B-21388,"6,648.00",0.00
PAY-D-7755,Bill Payment,03/12/2026,V-1209,Sound Cartage Co.,ACH,336305873969554,USD,"2,320.13",1.0000,"2,320.13",B-20699,"2,320.13",0.00
PAY-D-7756,Bill Payment,03/12/2026,V-1220,Treasure Valley Trucking,ACH,321075813541019,USD,"3,352.89",1.0000,"3,352.89",B-21219,"3,352.89",0.00
PAY-D-7757,Bill Payment,03/12/2026,V-1223,Malheur Onion Co.,CHECK,40242,USD,"11,545.79",1.0000,"11,545.79",B-20601,"11,545.79",0.00
PAY-D-7758,Bill Payment,03/12/2026,V-1226,Skagit Valley Grains,CHECK,40243,USD,"5,200.83",1.0000,"5,200.83",B-20149,"5,200.83",0.00
PAY-D-7759,Bill Payment,03/12/2026,V-1227,Blue Mountain Carriers,CHECK,40244,USD,"1,443.43",1.0000,"1,443.43",B-20804,"1,443.43",0.00
PAY-D-7760,Bill Payment,03/12/2026,V-1235,Bitterroot Bakehouse Supply,ACH,805588038960770,USD,"12,508.06",1.0000,"12,508.06",B-20056,"12,508.06",0.00
PAY-D-7761,Bill Payment,03/12/2026,V-1236,Kittitas Hay & Grain,CHECK,40245,USD,"4,229.76",1.0000,"4,229.76",B-21361,"4,229.76",0.00
PAY-D-7762,Bill Payment,03/12/2026,V-1239,Newberg Nut Growers,ACH,902805992717649,USD,"6,328.41",1.0000,"6,328.41",B-20986,"6,328.41",0.00
PAY-D-7763,Bill Payment,03/12/2026,V-1244,Portland Fleet Wash,ACH,873116277251976,USD,255.29,1.0000,255.29,B-21041,255.29,0.00
PAY-D-7764,Bill Payment,03/12/2026,V-1251,Payette Valley Beef,ACH,046804080716599,USD,"9,316.19",1.0000,"9,316.19",B-21223,"9,316.19",0.00
PAY-D-7765,Bill Payment,03/12/2026,V-1255,Coquille Dairy Cooperative,ACH,871504998775913,USD,"5,139.22",1.0000,"5,139.22",B-21034,"5,139.22",0.00
PAY-D-7766,Bill Payment,03/12/2026,V-1265,Coastline Shredding,ACH,096187587732535,USD,128.44,1.0000,128.44,B-21199,128.44,0.00
PAY-D-7767,Bill Payment,03/12/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40246,USD,"10,088.66",1.0000,"10,088.66",B-21440,"10,088.66",0.00
PAY-D-7768,Bill Payment,03/12/2026,V-1279,Willamette Valley Creamery,ACH,898572326689880,USD,"8,552.08",1.0000,"8,552.08",B-20818,"8,552.08",0.00
PAY-D-7769,Bill Payment,03/12/2026,V-1281,Boardman Tree Fruit,ACH,188351650708914,USD,"13,391.58",1.0000,"13,391.58",B-20276,"13,391.58",0.00
PAY-D-7770,Bill Payment,03/12/2026,V-1284,Hood Canal Oyster Co.,ACH,292689321921994,USD,"9,447.13",1.0000,"9,447.13",B-20439,"9,447.13",0.00
PAY-D-7771,Bill Payment,03/12/2026,V-1288,Wallowa Grass-Fed Beef,ACH,341850397875104,USD,"7,567.94",1.0000,"7,567.94",B-20093,"7,567.94",0.00
PAY-D-7772,Bill Payment,03/12/2026,V-1290,Columbia Gorge Orchards,ACH,639896628994514,USD,"15,646.39",1.0000,"15,646.39",B-20662,"15,646.39",0.00
PAY-D-7773,Bill Payment,03/12/2026,V-1294,Umpqua Oat Mill,ACH,487277308821847,USD,"14,274.51",1.0000,"14,274.51",B-20484,"14,274.51",0.00
PAY-D-7774,Bill Payment,03/19/2026,V-1011,Klamath Basin Potato Co.,CHECK,40247,USD,"4,432.00",1.0000,"4,432.00",B-21331,"4,432.00",0.00
PAY-D-7775,Bill Payment,03/19/2026,V-1015,Deschutes Brewing Supply Co-op,ACH,592834538699151,USD,"13,575.90",1.0000,"13,575.90",B-20622,"13,575.90",0.00
PAY-D-7776,Bill Payment,03/19/2026,V-1020,Cascade Coldchain Logistics,CHECK,40248,USD,"9,750.45",1.0000,"9,750.45",B-20476,"4,794.14",0.00
PAY-D-7776,Bill Payment,03/19/2026,V-1020,Cascade Coldchain Logistics,CHECK,40248,USD,"9,750.45",1.0000,"9,750.45",B-21436,"4,956.31",
PAY-D-7777,Bill Payment,03/19/2026,V-1023,Clearwater Creamery,ACH,195754263634070,USD,"14,913.41",1.0000,"14,913.41",B-20365,"14,913.41",0.00
PAY-D-7778,Bill Payment,03/19/2026,V-1031,Tualatin Hazelnut Co.,CHECK,40249,USD,"9,309.20",1.0000,"9,309.20",B-20099,"9,309.20",0.00
PAY-D-7779,Bill Payment,03/19/2026,V-1042,Pacific Coast Packaging LLC,ACH,271545823148679,USD,"8,925.64",1.0000,"8,925.64",B-21086,"8,925.64",0.00
PAY-D-7780,Bill Payment,03/19/2026,V-1051,Stumptown Office Supply,ACH,225484694828798,USD,350.64,1.0000,350.64,B-21231,350.64,0.00
PAY-D-7781,Bill Payment,03/19/2026,V-1055,Wenatchee Pear Packers,CHECK,40250,USD,"8,871.81",1.0000,"8,871.81",B-20945,"8,871.81",0.00
PAY-D-7782,Bill Payment,03/19/2026,V-1058,Ridgeline Express,ACH,244075761419955,USD,"2,111.47",1.0000,"2,111.47",B-20279,"2,111.47",0.00
PAY-D-7783,Bill Payment,03/19/2026,V-1077,Puget Sound Shellfish Co.,ACH,064737109206188,USD,"4,253.13",1.0000,"4,253.13",B-20551,"4,253.13",0.00
PAY-D-7784,Bill Payment,03/19/2026,V-1078,Rogue Valley Cheese Works,ACH,036788945417925,USD,"4,463.79",1.0000,"4,463.79",B-21110,"4,463.79",0.00
PAY-D-7785,Bill Payment,03/19/2026,V-1119,Cowlitz Creek Farms,ACH,163911186756022,USD,"14,853.32",1.0000,"14,853.32",B-20481,"14,853.32",0.00
PAY-D-7786,Bill Payment,03/19/2026,V-1124,Coos Bay Crab Co.,CHECK,40251,USD,"7,910.27",1.0000,"7,910.27",B-21255,"7,910.27",0.00
PAY-D-7787,Bill Payment,03/19/2026,V-1127,Nooksack Berry Growers,ACH,243947570983352,USD,"6,037.41",1.0000,"6,037.41",B-21297,"6,037.41",0.00
PAY-D-7788,Bill Payment,03/19/2026,V-1128,Yakima Hop & Herb,ACH,160821991631347,USD,"9,248.22",1.0000,"9,248.22",B-20706,"9,248.22",0.00
PAY-D-7789,Bill Payment,03/19/2026,V-1136,Hells Canyon Honey,CHECK,40252,USD,"12,977.95",1.0000,"12,977.95",B-21423,"12,977.95",0.00
PAY-D-7790,Bill Payment,03/19/2026,V-1142,Umatilla Specialty Produce,CHECK,40253,USD,"9,759.87",1.0000,"9,759.87",B-21379,"9,759.87",0.00
PAY-D-7791,Bill Payment,03/19/2026,V-1147,Oregon Coast Seafood Traders,CHECK,40254,USD,"6,985.55",1.0000,"6,985.55",B-21265,"6,985.55",0.00
PAY-D-7792,Bill Payment,03/19/2026,V-1151,Walla Walla Onion Growers,ACH,250097280923655,USD,"10,265.80",1.0000,"10,265.80",B-20408,"10,265.80",0.00
PAY-D-7793,Bill Payment,03/19/2026,V-1155,Pacific Fleet Fuel,ACH,003883182602966,USD,"2,072.59",1.0000,"2,072.59",B-21327,"2,072.59",0.00
PAY-D-7794,Bill Payment,03/19/2026,V-1161,Salem Pallet Recyclers,ACH,861433746757749,USD,629.17,1.0000,629.17,B-21456,629.17,0.00
PAY-D-7795,Bill Payment,03/19/2026,V-1173,Nisqually Salmon Co.,CHECK,40255,USD,"13,868.63",1.0000,"13,868.63",B-21037,"13,868.63",0.00
PAY-D-7796,Bill Payment,03/19/2026,V-1204,Northwest Reefer Transport,ACH,832433526670755,USD,"5,571.22",1.0000,"5,571.22",B-21514,"1,344.98",0.00
PAY-D-7796,Bill Payment,03/19/2026,V-1204,Northwest Reefer Transport,ACH,832433526670755,USD,"5,571.22",1.0000,"5,571.22",B-20472,"4,226.24",
PAY-D-7797,Bill Payment,03/19/2026,V-1206,Pend Oreille Wild Rice,CHECK,40256,USD,"5,641.00",1.0000,"5,641.00",B-20929,"5,641.00",0.00
PAY-D-7798,Bill Payment,03/19/2026,V-1209,Sound Cartage Co.,ACH,604407845052579,USD,"1,831.88",1.0000,"1,831.88",B-21225,"1,831.88",0.00
PAY-D-7799,Bill Payment,03/19/2026,V-1216,Chinook Smokehouse Co.,ACH,832078573988723,USD,"11,095.65",1.0000,"11,095.65",B-20919,"11,095.65",0.00
PAY-D-7800,Bill Payment,03/19/2026,V-1223,Malheur Onion Co.,CHECK,40257,USD,"7,721.50",1.0000,"7,721.50",B-20281,"7,721.50",0.00
PAY-D-7801,Bill Payment,03/19/2026,V-1224,Siuslaw Cranberry Growers,ACH,959849991006489,USD,"5,995.23",1.0000,"5,995.23",B-20130,"5,995.23",0.00
PAY-D-7802,Bill Payment,03/19/2026,V-1226,Skagit Valley Grains,CHECK,40258,USD,"7,726.42",1.0000,"7,726.42",B-21258,"7,726.42",0.00
PAY-D-7803,Bill Payment,03/19/2026,V-1227,Blue Mountain Carriers,CHECK,40259,USD,"3,537.17",1.0000,"3,537.17",B-20367,"3,537.17",0.00
PAY-D-7804,Bill Payment,03/19/2026,V-1233,Lummi Bay Seafood,ACH,642651539571249,USD,"9,296.34",1.0000,"9,296.34",B-20990,"9,296.34",0.00
PAY-D-7805,Bill Payment,03/19/2026,V-1236,Kittitas Hay & Grain,CHECK,40260,USD,"13,151.73",1.0000,"13,151.73",B-20821,"13,151.73",0.00
PAY-D-7806,Bill Payment,03/19/2026,V-1237,McKenzie River Mills,ACH,311755049927457,USD,"8,769.40",1.0000,"8,769.40",B-20632,"8,769.40",0.00
PAY-D-7807,Bill Payment,03/19/2026,V-1239,Newberg Nut Growers,ACH,428962306589442,USD,"11,620.22",1.0000,"11,620.22",B-20034,"11,620.22",0.00
PAY-D-7808,Bill Payment,03/19/2026,V-1242,Teton Valley Trout,ACH,050806754348604,USD,"15,651.48",1.0000,"15,651.48",B-20650,"15,651.48",0.00
PAY-D-7809,Bill Payment,03/19/2026,V-1251,Payette Valley Beef,ACH,956256420539871,USD,"8,306.60",1.0000,"8,306.60",B-21287,"8,306.60",0.00
PAY-D-7810,Bill Payment,03/19/2026,V-1252,Snake River Trout Farms,ACH,628678617967390,USD,"11,444.67",1.0000,"11,444.67",B-20461,"11,444.67",0.00
PAY-D-7811,Bill Payment,03/19/2026,V-1263,Summit Refrigeration Services,CHECK,40261,USD,"3,288.99",1.0000,"3,288.99",B-20567,"3,288.99",0.00
PAY-D-7812,Bill Payment,03/19/2026,V-1266,Silvies River Lamb,CHECK,40262,USD,"13,927.25",1.0000,"13,927.25",B-21186,"13,927.25",0.00
PAY-D-7813,Bill Payment,03/19/2026,V-1270,Santiam Canning Co.,CHECK,40263,USD,"11,116.46",1.0000,"11,116.46",B-20736,"11,116.46",0.00
PAY-D-7814,Bill Payment,03/19/2026,V-1274,Olympic Peninsula Mushrooms,CHECK,40264,USD,"11,645.78",1.0000,"11,645.78",B-20246,"11,645.78",0.00
PAY-D-7815,Bill Payment,03/19/2026,V-1279,Willamette Valley Creamery,ACH,752577176906944,USD,"5,808.10",1.0000,"5,808.10",B-20833,"5,808.10",0.00
PAY-D-7816,Bill Payment,03/19/2026,V-1280,Grande Ronde Poultry,CHECK,40265,USD,"12,685.95",1.0000,"12,685.95",B-21238,"12,685.95",0.00
PAY-D-7817,Bill Payment,03/19/2026,V-1289,Blue Heron Preserves,CHECK,40266,USD,"5,029.48",1.0000,"5,029.48",B-20728,"5,029.48",0.00
PAY-D-7818,Bill Payment,03/19/2026,V-1291,Palouse Lentil Growers,ACH,536948880873322,USD,"9,581.83",1.0000,"9,581.83",B-20663,"9,581.83",0.00
PAY-D-7819,Bill Payment,03/19/2026,V-1292,Hermiston Melon Farms,ACH,953259230121249,USD,"8,468.69",1.0000,"8,468.69",B-20291,"8,468.69",0.00
PAY-D-7820,Bill Payment,03/19/2026,V-1294,Umpqua Oat Mill,ACH,111369111993893,USD,"7,932.99",1.0000,"7,932.99",B-20768,"7,932.99",0.00
PAY-D-7821,Bill Payment,03/26/2026,V-1003,Ridgewire Telecom,ACH,152451137645142,USD,"1,346.49",1.0000,"1,346.49",B-21427,"1,346.49",0.00
PAY-D-7822,Bill Payment,03/26/2026,V-1055,Wenatchee Pear Packers,CHECK,40267,USD,"8,266.91",1.0000,"8,266.91",B-20261,"8,266.91",0.00
PAY-D-7823,Bill Payment,03/26/2026,V-1058,Ridgeline Express,ACH,028566933756225,USD,663.80,1.0000,663.80,B-20090,663.80,0.00
PAY-D-7824,Bill Payment,03/26/2026,V-1074,Scappoose Organic Farms,CHECK,40268,USD,"13,436.94",1.0000,"13,436.94",B-21314,"13,436.94",0.00
PAY-D-7825,Bill Payment,03/26/2026,V-1077,Puget Sound Shellfish Co.,ACH,655740692387283,USD,"10,239.64",1.0000,"10,239.64",B-21043,"10,239.64",0.00
PAY-D-7826,Bill Payment,03/26/2026,V-1078,Rogue Valley Cheese Works,ACH,225494496914101,USD,"9,372.47",1.0000,"9,372.47",B-20505,"9,372.47",0.00
PAY-D-7827,Bill Payment,03/26/2026,V-1080,Mt. Hood Berry Farm,ACH,573714038863520,USD,"14,632.49",1.0000,"14,632.49",B-20960,"14,632.49",0.00
PAY-D-7828,Bill Payment,03/26/2026,V-1120,Columbia River Freightways,ACH,538618459498349,USD,"2,116.20",1.0000,"2,116.20",B-20109,"2,116.20",0.00
PAY-D-7829,Bill Payment,03/26/2026,V-1143,CloudLedger Software,ACH,369358579759129,USD,544.30,1.0000,544.30,B-20485,544.30,0.00
PAY-D-7830,Bill Payment,03/26/2026,V-1151,Walla Walla Onion Growers,ACH,279932150060160,USD,"4,150.11",1.0000,"4,150.11",B-20437,"4,150.11",0.00
