Bill No,Vendor ID,Vendor Name,Vendor Ref,Bill Date,Due Date,Currency,Amount,Balance Due,Status
B-20274,V-1020,Cascade Coldchain Logistics,CCL-22825,06/03/2026,07/03/2026,USD,"3,961.81","3,961.81",Open
B-20275,V-1120,Columbia River Freightways,CRF-78134,12/18/2025,01/17/2026,USD,"1,691.67",0.00,Paid
B-20276,V-1281,Boardman Tree Fruit,BTF-48322,02/16/2026,03/18/2026,USD,"13,391.58",0.00,Paid
B-20277,V-1124,Coos Bay Crab Co.,CBC-43178,03/09/2026,04/08/2026,USD,"12,406.47",0.00,Paid
B-20278,V-1294,Umpqua Oat Mill,UOM-16040,06/01/2026,07/01/2026,USD,"8,006.23",0.00,Paid
B-20279,V-1058,Ridgeline Express,RE-17441,02/23/2026,03/25/2026,USD,"2,111.47",0.00,Paid
B-20280,V-1290,Columbia Gorge Orchards,CGO-75856,05/07/2026,06/06/2026,USD,"13,388.69",0.00,Paid
B-20281,V-1223,Malheur Onion Co.,MOC-17134,02/18/2026,03/20/2026,USD,"7,721.50",0.00,Paid
B-20282,V-1074,Scappoose Organic Farms,SOF-71090,04/20/2026,05/20/2026,USD,"4,492.42",0.00,Paid
B-20283,V-1204,Northwest Reefer Transport,NRT-66239,01/12/2026,02/11/2026,USD,"3,860.81",0.00,Paid
B-20284,V-1220,Treasure Valley Trucking,TVT-65964,03/30/2026,04/29/2026,USD,"1,905.17",0.00,Paid
B-20285,V-1151,Walla Walla Onion Growers,WWO-23168,04/02/2026,05/02/2026,USD,"3,916.91",0.00,Paid
B-20286,V-1299,Evergreen Box & Film,EBF-19407,01/05/2026,02/04/2026,USD,"1,708.04",0.00,Paid
B-20287,V-1206,Pend Oreille Wild Rice,POW-23720,01/23/2026,02/22/2026,USD,"5,631.81",0.00,Paid
B-20288,V-1291,Palouse Lentil Growers,PLG-19452,01/27/2026,02/11/2026,USD,"14,550.46",0.00,Paid
B-20289,V-1294,Umpqua Oat Mill,UOM-16138,12/29/2025,01/28/2026,USD,"10,529.88",0.00,Paid
B-20290,V-1078,Rogue Valley Cheese Works,RVC-37351,04/29/2026,05/29/2026,USD,"13,545.10",0.00,Paid
B-20291,V-1292,Hermiston Melon Farms,HMF-63801,03/09/2026,03/24/2026,USD,"8,468.69",0.00,Paid
B-20292,V-1205,Methow Valley Apples,MVA-59500,12/29/2025,01/13/2026,USD,"5,420.97",0.00,Paid
B-20293,V-1011,Klamath Basin Potato Co.,KBP-11843,12/29/2025,01/28/2026,USD,"5,060.29",0.00,Paid
B-20294,V-1147,Oregon Coast Seafood Traders,OCS-59094,05/11/2026,06/10/2026,USD,"13,520.56",0.00,Paid
B-20295,V-1045,Talent Bridge Staffing,TBS-63709,04/29/2026,05/29/2026,USD,"5,466.16",0.00,Paid
B-20296,V-1147,Oregon Coast Seafood Traders,OCS-58759,01/05/2026,02/04/2026,USD,"11,566.44",0.00,Paid
B-20297,V-1181,Duwamish Industrial Partners,RENT-2026-01,01/01/2026,01/01/2026,USD,"6,420.00",0.00,Paid
B-20298,V-1151,Walla Walla Onion Growers,WWO-23442,12/22/2025,01/21/2026,USD,"10,450.76",0.00,Paid
B-20300,V-1204,Northwest Reefer Transport,NRT-66794,12/26/2025,01/25/2026,USD,"3,110.62",0.00,Paid
B-20301,V-1220,Treasure Valley Trucking,TVT-66107,04/30/2026,05/30/2026,USD,"1,732.00",0.00,Paid
B-20302,V-1288,Wallowa Grass-Fed Beef,WGB-72118,05/22/2026,06/21/2026,USD,"12,767.15",0.00,Paid
B-20305,V-1227,Blue Mountain Carriers,BMC-59810,06/17/2026,07/17/2026,USD,"2,618.61","2,618.61",Open
B-20306,V-1276,Critter Guard Pest Control,CGP-56488,06/22/2026,07/22/2026,USD,385.65,385.65,Open
B-20307,V-1018,Keystone Scale & Calibration,KSC-62458,06/04/2026,07/04/2026,USD,495.86,495.86,Open
B-20308,V-1155,Pacific Fleet Fuel,PFF-26025,03/18/2026,04/17/2026,USD,"3,315.11",0.00,Paid
B-20309,V-1289,Blue Heron Preserves,BHP-43584,01/29/2026,02/13/2026,USD,"4,358.80",0.00,Paid
B-20310,V-1173,Nisqually Salmon Co.,NSC-72026,05/14/2026,06/13/2026,USD,"12,800.08",0.00,Paid
B-20311,V-1236,Kittitas Hay & Grain,KHG-25604,03/30/2026,04/14/2026,USD,"13,389.54",0.00,Paid
B-20312,V-1220,Treasure Valley Trucking,TVT-66252,06/25/2026,07/25/2026,USD,"2,752.36","2,752.36",Open
B-20316,V-1161,Salem Pallet Recyclers,SPR-14137,01/05/2026,02/04/2026,USD,459.94,0.00,Paid
B-20317,V-1120,Columbia River Freightways,CRF-78001,04/16/2026,05/16/2026,USD,807.13,0.00,Paid
B-20318,V-1020,Cascade Coldchain Logistics,CCL-22546,02/11/2026,03/13/2026,USD,"2,972.18",0.00,Paid
B-20319,V-1205,Methow Valley Apples,MVA-59266,03/16/2026,03/31/2026,USD,"9,284.86",0.00,Paid
B-20320,V-1128,Yakima Hop & Herb,YHH-36389,05/29/2026,06/28/2026,USD,"11,221.10",0.00,Paid
B-20321,V-1198,Emerald City Cold Storage,ECC-76109,01/02/2026,02/01/2026,USD,"3,808.52",0.00,Paid
B-20322,V-1154,Brightline Janitorial,BJ-36139,01/20/2026,02/19/2026,USD,"1,573.27",0.00,Paid
B-20323,V-1155,Pacific Fleet Fuel,PFF-26125,04/08/2026,05/08/2026,USD,"2,300.67",0.00,Paid
B-20325,V-1080,Mt. Hood Berry Farm,MHB-48693,05/11/2026,06/10/2026,USD,"15,468.09",0.00,Paid
B-20326,V-1204,Northwest Reefer Transport,NRT-66513,04/20/2026,05/20/2026,USD,"3,901.17",0.00,Paid
B-20327,V-1173,Nisqually Salmon Co.,NSC-71730,01/28/2026,02/27/2026,USD,"13,377.61",0.00,Paid
B-20328,V-1072,Gowen Field Commerce Park,RENT-2026-03,03/01/2026,03/01/2026,USD,"4,875.00",0.00,Paid
B-20330,V-1284,Hood Canal Oyster Co.,HCO-69448,06/22/2026,07/22/2026,USD,"5,158.74","5,158.74",Open
B-20331,V-1128,Yakima Hop & Herb,YHH-36144,01/19/2026,02/18/2026,USD,"9,912.63",0.00,Paid
B-20332,V-1227,Blue Mountain Carriers,BMC-59672,04/02/2026,05/02/2026,USD,"1,615.63",0.00,Paid
B-20334,V-1277,Metro Waste Haulers,MWH-42839,06/08/2026,07/08/2026,USD,602.21,602.21,Open
B-20336,V-1124,Coos Bay Crab Co.,CBC-43211,03/23/2026,04/22/2026,USD,"7,355.98",0.00,Paid
B-20337,V-1193,Chehalis Valley Eggs,CVE-61019,04/01/2026,05/01/2026,USD,"10,031.48",0.00,Paid
B-20338,V-1127,Nooksack Berry Growers,NBG-54312,03/18/2026,04/02/2026,USD,"12,930.34",0.00,Paid
B-20339,V-1266,Silvies River Lamb,SRL-64624,06/15/2026,07/15/2026,USD,"4,743.97","4,743.97",Open
B-20340,V-1127,Nooksack Berry Growers,NBG-54196,01/20/2026,02/04/2026,USD,"13,495.08",0.00,Paid
B-20341,V-1252,Snake River Trout Farms,SRT-48375,05/20/2026,06/19/2026,USD,"11,477.72",0.00,Paid
B-20342,V-1280,Grande Ronde Poultry,GRP-20652,12/23/2025,01/07/2026,USD,"14,251.50",0.00,Paid
B-20343,V-1252,Snake River Trout Farms,SRT-48183,03/12/2026,04/11/2026,USD,"10,895.89",0.00,Paid
B-20344,V-1128,Yakima Hop & Herb,YHH-36197,02/16/2026,03/18/2026,USD,"15,173.35",0.00,Paid
B-20345,V-1180,Beaverton Forklift Leasing,BFL-51927,06/22/2026,07/22/2026,USD,"2,178.50","2,178.50",Open
B-20346,V-1119,Cowlitz Creek Farms,CCF-61091,01/12/2026,01/27/2026,USD,"4,159.33",0.00,Paid
B-20347,V-1279,Willamette Valley Creamery,WVC-19515,12/29/2025,01/28/2026,USD,"7,555.97",0.00,Paid
B-20348,V-1147,Oregon Coast Seafood Traders,OCS-59053,04/27/2026,05/27/2026,USD,"7,948.69",0.00,Paid
B-20349,V-1209,Sound Cartage Co.,SCC-77359,06/08/2026,07/08/2026,USD,611.59,611.59,Open
B-20350,V-1242,Teton Valley Trout,TVT-23036,01/02/2026,02/01/2026,USD,"11,012.63",0.00,Paid
B-20351,V-1198,Emerald City Cold Storage,ECC-76162,06/03/2026,07/03/2026,USD,"2,352.21","2,352.21",Open
B-20352,V-1120,Columbia River Freightways,CRF-77985,04/09/2026,05/09/2026,USD,"3,875.74",0.00,Paid
B-20353,V-1119,Cowlitz Creek Farms,CCF-61440,06/08/2026,06/23/2026,USD,"5,901.59",0.00,Paid
B-20354,V-1299,Evergreen Box & Film,EBF-19431,02/02/2026,03/04/2026,USD,"2,900.29",0.00,Paid
B-20355,V-1242,Teton Valley Trout,TVT-23084,01/26/2026,02/25/2026,USD,"12,471.74",0.00,Paid
B-20356,V-1031,Tualatin Hazelnut Co.,THC-26263,04/02/2026,05/02/2026,USD,"14,784.83",0.00,Paid
B-20357,V-1270,Santiam Canning Co.,SCC-51675,01/26/2026,02/10/2026,USD,"5,792.55",0.00,Paid
B-20359,V-1127,Nooksack Berry Growers,NBG-54206,02/02/2026,02/17/2026,USD,"6,733.44",0.00,Paid
B-20360,V-1290,Columbia Gorge Orchards,CGO-75914,12/15/2025,01/14/2026,USD,"11,063.35",0.00,Paid
B-20361,V-1223,Malheur Onion Co.,MOC-17259,05/11/2026,06/10/2026,USD,"9,164.22",0.00,Paid
B-20362,V-1136,Hells Canyon Honey,HCH-37528,06/26/2026,07/26/2026,USD,"9,681.61","9,681.61",Open
B-20364,V-1216,Chinook Smokehouse Co.,CSC-57075,03/30/2026,04/29/2026,USD,"7,002.27",0.00,Paid
B-20365,V-1023,Clearwater Creamery,CC-67948,02/17/2026,03/19/2026,USD,"14,913.41",0.00,Paid
B-20366,V-1288,Wallowa Grass-Fed Beef,WGB-72020,04/27/2026,05/27/2026,USD,"13,254.14",0.00,Paid
B-20367,V-1227,Blue Mountain Carriers,BMC-59560,02/23/2026,03/25/2026,USD,"3,537.17",0.00,Paid
B-20368,V-1120,Columbia River Freightways,CRF-78130,06/25/2026,07/25/2026,USD,"1,225.35","1,225.35",Open
B-20369,V-1294,Umpqua Oat Mill,UOM-15914,04/09/2026,05/09/2026,USD,"7,404.03",0.00,Paid
B-20370,V-1066,Willamette Sanitation Supply,WSS-12676,06/16/2026,07/16/2026,USD,375.79,375.79,Open
B-20371,V-1237,McKenzie River Mills,MRM-67680,12/16/2025,01/15/2026,USD,"4,405.17",0.00,Paid
B-20372,V-1142,Umatilla Specialty Produce,USP-31977,01/06/2026,02/05/2026,USD,"4,443.43",0.00,Paid
B-20374,V-1023,Clearwater Creamery,CC-68236,06/22/2026,07/22/2026,USD,"12,393.52","12,393.52",Open
B-20375,V-1181,Duwamish Industrial Partners,RENT-2026-06,06/01/2026,06/01/2026,USD,"6,420.00",0.00,Paid
B-20376,V-1074,Scappoose Organic Farms,SOF-71130,05/08/2026,06/07/2026,USD,"9,380.31",0.00,Paid
B-20377,V-1204,Northwest Reefer Transport,NRT-66688,06/01/2026,07/01/2026,USD,"2,911.37",0.00,Paid
B-20378,V-1209,Sound Cartage Co.,SCC-76998,02/02/2026,03/04/2026,USD,635.24,0.00,Paid
B-20379,V-1288,Wallowa Grass-Fed Beef,WGB-72078,05/18/2026,06/17/2026,USD,"14,143.18",0.00,Paid
B-20380,V-1105,Everbright Electric Contractors,EEC-36220,05/25/2026,06/24/2026,USD,"4,875.30",0.00,Paid
B-20381,V-1077,Puget Sound Shellfish Co.,PSS-18858,04/09/2026,05/09/2026,USD,"12,981.44",0.00,Paid
B-20384,V-1227,Blue Mountain Carriers,BMC-59686,04/13/2026,05/13/2026,USD,"2,221.74",0.00,Paid
B-20385,V-1277,Metro Waste Haulers,MWH-42737,02/25/2026,03/27/2026,USD,607.76,0.00,Paid
B-20387,V-1074,Scappoose Organic Farms,SOF-71196,06/23/2026,07/23/2026,USD,"9,323.64","9,323.64",Open
B-20389,V-1237,McKenzie River Mills,MRM-67496,04/07/2026,05/07/2026,USD,"9,639.85",0.00,Paid
B-20390,V-1279,Willamette Valley Creamery,WVC-19126,01/26/2026,02/25/2026,USD,"9,472.42",0.00,Paid
B-20391,V-1279,Willamette Valley Creamery,WVC-19472,06/12/2026,07/12/2026,USD,"11,874.59","11,874.59",Open
B-20392,V-1119,Cowlitz Creek Farms,CCF-61115,01/23/2026,02/07/2026,USD,"15,339.14",0.00,Paid
B-20393,V-1252,Snake River Trout Farms,SRT-48050,01/07/2026,02/06/2026,USD,"11,835.92",0.00,Paid
B-20395,V-1211,Portland General Utilities,PGU-43245,01/13/2026,02/02/2026,USD,"1,263.51",0.00,Paid
B-20396,V-1237,McKenzie River Mills,MRM-67689,12/22/2025,01/21/2026,USD,"13,314.07",0.00,Paid
B-20397,V-1233,Lummi Bay Seafood,LBS-35216,01/22/2026,02/21/2026,USD,"9,573.84",0.00,Paid
B-20398,V-1216,Chinook Smokehouse Co.,CSC-56971,01/22/2026,02/21/2026,USD,"11,971.93",0.00,Paid
B-20399,V-1055,Wenatchee Pear Packers,WPP-34498,03/26/2026,04/25/2026,USD,"12,738.18",0.00,Paid
B-20400,V-1288,Wallowa Grass-Fed Beef,WGB-72215,06/24/2026,07/24/2026,USD,"12,056.36","12,056.36",Open
B-20401,V-1204,Northwest Reefer Transport,NRT-66735,06/18/2026,07/18/2026,USD,"3,531.19","3,531.19",Open
B-20402,V-1058,Ridgeline Express,RE-17630,05/25/2026,06/24/2026,USD,655.62,0.00,Paid
B-20403,V-1280,Grande Ronde Poultry,GRP-20633,12/29/2025,01/13/2026,USD,"7,635.68",0.00,Paid
B-20404,V-1200,Yamhill Charcuterie,YC-21098,02/25/2026,03/27/2026,USD,"14,881.00",0.00,Paid
B-20405,V-1266,Silvies River Lamb,SRL-64404,03/23/2026,04/22/2026,USD,"7,835.27",0.00,Paid
B-20406,V-1288,Wallowa Grass-Fed Beef,WGB-71873,01/26/2026,02/25/2026,USD,"12,078.21",0.00,Paid
B-20407,V-1266,Silvies River Lamb,SRL-64462,04/02/2026,05/02/2026,USD,"15,777.79",0.00,Paid
B-20408,V-1151,Walla Walla Onion Growers,WWO-23028,02/17/2026,03/19/2026,USD,"10,265.80",0.00,Paid
B-20410,V-1291,Palouse Lentil Growers,PLG-19563,03/17/2026,04/01/2026,USD,"12,381.65",0.00,Paid
B-20411,V-1120,Columbia River Freightways,CRF-77942,03/26/2026,04/25/2026,USD,"2,889.50",0.00,Paid
B-20412,V-1003,Ridgewire Telecom,RT-27266,05/27/2026,06/16/2026,USD,"1,332.61",0.00,Paid
B-20413,V-1021,Harborview Sign Co.,HSC-72931,01/05/2026,02/04/2026,USD,567.58,0.00,Paid
B-20414,V-1266,Silvies River Lamb,SRL-64583,05/27/2026,06/26/2026,USD,"6,236.83",0.00,Paid
B-20415,V-1290,Columbia Gorge Orchards,COL-79503,06/08/2026,07/08/2026,USD,"6,238.95",0.00,Paid
B-20416,V-1142,Umatilla Specialty Produce,USP-32249,04/08/2026,05/08/2026,USD,"5,646.36",0.00,Paid
B-20418,V-1233,Lummi Bay Seafood,LBS-35562,12/15/2025,01/14/2026,USD,"12,871.67",0.00,Paid
B-20419,V-1270,Santiam Canning Co.,SCC-51652,01/05/2026,01/20/2026,USD,"9,690.36",0.00,Paid
B-20420,V-1291,Palouse Lentil Growers,PLG-19684,05/14/2026,05/29/2026,USD,"7,406.71",0.00,Paid
B-20421,V-1291,Palouse Lentil Growers,PLG-19612,04/06/2026,04/21/2026,USD,"14,146.78",0.00,Paid
B-20422,V-1011,Klamath Basin Potato Co.,KBP-11421,01/12/2026,02/11/2026,USD,"15,054.62",0.00,Paid
B-20424,V-1233,Lummi Bay Seafood,LBS-35513,06/15/2026,07/15/2026,USD,"7,158.71","7,158.71",Open
B-20425,V-1213,Pinnacle Payroll Services,PPS-65113,05/08/2026,06/07/2026,USD,413.64,0.00,Paid
B-20426,V-1045,Talent Bridge Staffing,TBS-63591,01/19/2026,02/18/2026,USD,"2,226.48",0.00,Paid
B-20427,V-1290,Columbia Gorge Orchards,CGO-75732,03/06/2026,04/05/2026,USD,"15,465.85",0.00,Paid
B-20428,V-1220,Treasure Valley Trucking,TVT-65791,02/02/2026,03/04/2026,USD,"3,260.66",0.00,Paid
B-20430,V-1239,Newberg Nut Growers,NNG-32384,06/08/2026,07/08/2026,USD,"12,537.79","12,537.79",Open
B-20432,V-1077,Puget Sound Shellfish Co.,PSS-18869,04/28/2026,05/28/2026,USD,"13,936.59",0.00,Paid
B-20433,V-1216,Chinook Smokehouse Co.,CSC-57151,05/11/2026,06/10/2026,USD,"9,481.42",0.00,Paid
B-20434,V-1031,Tualatin Hazelnut Co.,THC-26356,06/10/2026,07/10/2026,USD,"4,190.48","4,190.48",Open
B-20435,V-1205,Methow Valley Apples,MVA-59404,06/18/2026,07/03/2026,USD,"9,213.44","9,213.44",Open
B-20436,V-1223,Malheur Onion Co.,MOC-17378,12/12/2025,01/11/2026,USD,"9,945.83",0.00,Paid
B-20437,V-1151,Walla Walla Onion Growers,WWO-23053,02/24/2026,03/26/2026,USD,"4,150.11",0.00,Paid
B-20438,V-1292,Hermiston Melon Farms,HMF-63940,05/04/2026,05/19/2026,USD,"8,498.19",0.00,Paid
B-20439,V-1284,Hood Canal Oyster Co.,HCO-69192,02/10/2026,03/12/2026,USD,"9,447.13",0.00,Paid
B-20441,V-1220,Treasure Valley Trucking,TVT-65761,01/30/2026,03/01/2026,USD,"1,330.83",0.00,Paid
B-20442,V-1280,Grande Ronde Poultry,GRP-20296,01/26/2026,02/10/2026,USD,"14,438.98",0.00,Paid
B-20443,V-1205,Methow Valley Apples,MVA-59088,01/06/2026,01/21/2026,USD,"10,961.48",0.00,Paid
B-20444,V-1193,Chehalis Valley Eggs,CVE-60885,01/02/2026,02/01/2026,USD,"4,037.95",0.00,Paid
B-20445,V-1280,Grande Ronde Poultry,GRP-20257,01/13/2026,01/28/2026,USD,"15,304.07",0.00,Paid
B-20446,V-1226,Skagit Valley Grains,SVG-15574,04/02/2026,05/02/2026,USD,"10,475.53",0.00,Paid
B-20447,V-1011,Klamath Basin Potato Co.,KBP-11632,03/30/2026,04/29/2026,USD,"13,263.82",0.00,Paid
B-20448,V-1235,Bitterroot Bakehouse Supply,BBS-56866,06/25/2026,07/25/2026,USD,"14,258.64","14,258.64",Open
B-20449,V-1255,Coquille Dairy Cooperative,CDC-45419,12/22/2025,01/21/2026,USD,"5,468.04",0.00,Paid
B-20450,V-1251,Payette Valley Beef,PVB-56906,06/09/2026,07/09/2026,USD,"10,659.29","10,659.29",Open
B-20451,V-1143,CloudLedger Software,CS-70102,03/26/2026,04/25/2026,USD,630.75,0.00,Paid
B-20452,V-1055,Wenatchee Pear Packers,WPP-34624,06/04/2026,07/04/2026,USD,"4,934.80","4,934.80",Open
B-20453,V-1160,Hollis & Ward CPAs,HWC-33142,05/12/2026,06/11/2026,USD,"9,047.07",0.00,Paid
B-20455,V-1211,Portland General Utilities,PGU-43313,03/14/2026,04/03/2026,USD,"1,184.62",0.00,Paid
B-20457,V-1237,McKenzie River Mills,MRM-67449,03/23/2026,04/22/2026,USD,"9,049.50",0.00,Paid
B-20458,V-1204,Northwest Reefer Transport,NRT-66200,01/06/2026,02/05/2026,USD,"2,719.29",0.00,Paid
B-20459,V-1197,Northgate IT Partners,NIP-72440,05/18/2026,06/17/2026,USD,"2,346.30",0.00,Paid
B-20460,V-1289,Blue Heron Preserves,BHP-43596,02/16/2026,03/03/2026,USD,"9,279.88",0.00,Paid
B-20461,V-1252,Snake River Trout Farms,SRT-48159,02/18/2026,03/20/2026,USD,"11,444.67",0.00,Paid
B-20462,V-1205,Methow Valley Apples,MVA-59298,03/27/2026,04/11/2026,USD,"9,163.57",0.00,Paid
B-20463,V-1239,Newberg Nut Growers,NNG-32343,05/22/2026,06/21/2026,USD,"7,708.43",0.00,Paid
B-20464,V-1235,Bitterroot Bakehouse Supply,BBS-56697,03/04/2026,04/03/2026,USD,"14,073.25",0.00,Paid
B-20466,V-1252,Snake River Trout Farms,SRT-48441,06/22/2026,07/22/2026,USD,"4,129.92","4,129.92",Open
B-20467,V-1160,Hollis & Ward CPAs,HWC-33138,03/09/2026,04/08/2026,USD,"13,929.10",0.00,Paid
B-20468,V-1124,Coos Bay Crab Co.,CBC-43063,01/05/2026,02/04/2026,USD,"10,575.43",0.00,Paid
B-20469,V-1288,Wallowa Grass-Fed Beef,WGB-71889,02/09/2026,03/11/2026,USD,"12,077.27",0.00,Paid
B-20470,V-1274,Olympic Peninsula Mushrooms,OPM-33843,04/30/2026,05/15/2026,USD,"15,062.74",0.00,Paid
B-20472,V-1204,Northwest Reefer Transport,NRT-66426,02/23/2026,03/25/2026,USD,"4,226.24",0.00,Paid
B-20473,V-1242,Teton Valley Trout,TVT-23467,06/22/2026,07/22/2026,USD,"11,828.82","11,828.82",Open
B-20474,V-1205,Methow Valley Apples,MVA-59349,05/04/2026,05/19/2026,USD,"10,898.95",0.00,Paid
B-20475,V-1292,Hermiston Melon Farms,HMF-63907,04/23/2026,05/08/2026,USD,"13,655.01",0.00,Paid
B-20476,V-1020,Cascade Coldchain Logistics,CCL-22572,02/17/2026,03/19/2026,USD,"4,794.14",0.00,Paid
B-20477,V-1244,Portland Fleet Wash,PFW-12724,06/05/2026,07/05/2026,USD,368.15,368.15,Open
B-20478,V-1209,Sound Cartage Co.,SCC-77307,05/25/2026,06/24/2026,USD,"1,019.45",0.00,Paid
B-20479,V-1120,Columbia River Freightways,CRF-78073,06/04/2026,07/04/2026,USD,"3,726.00","3,726.00",Open
B-20480,V-1074,Scappoose Organic Farms,SOF-71237,12/09/2025,01/08/2026,USD,"13,627.78",0.00,Paid
B-20481,V-1119,Cowlitz Creek Farms,CCF-61255,03/09/2026,03/24/2026,USD,"14,853.32",0.00,Paid
B-20482,V-1127,Nooksack Berry Growers,NBG-54433,05/11/2026,05/26/2026,USD,"10,903.87",0.00,Paid
B-20483,V-1227,Blue Mountain Carriers,BMC-59389,01/02/2026,02/01/2026,USD,"1,723.00",0.00,Paid
B-20484,V-1294,Umpqua Oat Mill,UOM-15824,02/13/2026,03/15/2026,USD,"14,274.51",0.00,Paid
B-20485,V-1143,CloudLedger Software,CS-70081,02/27/2026,03/29/2026,USD,544.30,0.00,Paid
B-20487,V-1281,Boardman Tree Fruit,BTF-48275,01/30/2026,03/01/2026,USD,"10,792.66",0.00,Paid
B-20489,V-1281,Boardman Tree Fruit,BTF-48456,05/13/2026,06/12/2026,USD,"14,439.46",0.00,Paid
B-20490,V-1292,Hermiston Melon Farms,HMF-64010,06/16/2026,07/01/2026,USD,"5,753.31",0.00,Paid
B-20491,V-1151,Walla Walla Onion Growers,WWO-23132,03/30/2026,04/29/2026,USD,"9,837.24",0.00,Paid
B-20492,V-1011,Klamath Basin Potato Co.,KBP-11758,05/14/2026,06/13/2026,USD,"14,568.03",0.00,Paid
B-20493,V-1284,Hood Canal Oyster Co.,HCO-69335,04/20/2026,05/20/2026,USD,"7,841.92",0.00,Paid
B-20494,V-1185,Mill Creek Temp Controls,MCT-57675,03/16/2026,04/15/2026,USD,"1,123.14",0.00,Paid
B-20495,V-1236,Kittitas Hay & Grain,KHG-25717,05/06/2026,05/21/2026,USD,"9,509.86",0.00,Paid
B-20496,V-1276,Critter Guard Pest Control,CGP-56384,01/27/2026,02/26/2026,USD,261.75,0.00,Paid
B-20497,V-1136,Hells Canyon Honey,HCH-37302,03/12/2026,04/11/2026,USD,"6,969.92",0.00,Paid
B-20498,V-1204,Northwest Reefer Transport,NRT-66473,03/16/2026,04/15/2026,USD,"3,081.94",0.00,Paid
B-20499,V-1280,Grande Ronde Poultry,GRP-20455,04/27/2026,05/12/2026,USD,"6,962.48",0.00,Paid
B-20500,V-1015,Deschutes Brewing Supply Co-op,DBS-69650,02/02/2026,03/04/2026,USD,"10,697.47",0.00,Paid
B-20501,V-1080,Mt. Hood Berry Farm,MHB-48841,12/22/2025,01/21/2026,USD,"13,075.67",0.00,Paid
B-20502,V-1244,Portland Fleet Wash,PFW-12660,03/18/2026,04/17/2026,USD,314.53,0.00,Paid
B-20504,V-1279,Willamette Valley Creamery,WVC-19320,04/20/2026,05/20/2026,USD,"15,648.52",0.00,Paid
B-20505,V-1078,Rogue Valley Cheese Works,RVC-37221,02/25/2026,03/27/2026,USD,"9,372.47",0.00,Paid
B-20506,V-1119,Cowlitz Creek Farms,CCF-61226,02/25/2026,03/12/2026,USD,"14,537.64",0.00,Paid
B-20508,V-1290,Columbia Gorge Orchards,CGO-75866,05/12/2026,06/11/2026,USD,"13,743.03",0.00,Paid
B-20509,V-1236,Kittitas Hay & Grain,KHG-25587,03/16/2026,03/31/2026,USD,"3,984.35",0.00,Paid
B-20510,V-1120,Columbia River Freightways,CRF-77915,03/16/2026,04/15/2026,USD,"3,408.45",0.00,Paid
B-20511,V-1227,Blue Mountain Carriers,BMC-59842,12/23/2025,01/22/2026,USD,"2,086.35",0.00,Paid
B-20512,V-1223,Malheur Onion Co.,MOC-17043,01/01/2026,01/31/2026,USD,"7,463.12",0.00,Paid
B-20513,V-1124,Coos Bay Crab Co.,CBC-43102,01/27/2026,02/26/2026,USD,"13,646.68",0.00,Paid
B-20515,V-1147,Oregon Coast Seafood Traders,OCS-59043,04/13/2026,05/13/2026,USD,"11,960.76",0.00,Paid
B-20517,V-1216,Chinook Smokehouse Co.,CSC-57254,12/15/2025,01/14/2026,USD,"10,398.04",0.00,Paid
B-20518,V-1127,Nooksack Berry Growers,NBG-54494,12/19/2025,01/03/2026,USD,"13,031.60",0.00,Paid
B-20519,V-1292,Hermiston Melon Farms,HMF-63753,02/09/2026,02/24/2026,USD,"7,937.93",0.00,Paid
B-20521,V-1216,Chinook Smokehouse Co.,CSC-57068,03/18/2026,04/17/2026,USD,"14,910.09",0.00,Paid
B-20523,V-1128,Yakima Hop & Herb,YHH-36324,04/13/2026,05/13/2026,USD,"11,805.71",0.00,Paid
B-20524,V-1042,Pacific Coast Packaging LLC,PCP-23177,02/06/2026,03/08/2026,USD,"8,621.94",0.00,Paid
B-20525,V-1291,Palouse Lentil Growers,PLG-19644,05/01/2026,05/16/2026,USD,"11,389.57",0.00,Paid
B-20526,V-1078,Rogue Valley Cheese Works,RVC-37140,01/12/2026,02/11/2026,USD,"9,652.64",0.00,Paid
B-20527,V-1080,Mt. Hood Berry Farm,MHB-48453,01/30/2026,03/01/2026,USD,"12,447.52",0.00,Paid
B-20528,V-1292,Hermiston Melon Farms,HMF-63844,03/23/2026,04/07/2026,USD,"10,562.67",0.00,Paid
B-20529,V-1128,Yakima Hop & Herb,YHH-36399,06/15/2026,07/15/2026,USD,"9,744.58","9,744.58",Open
B-20531,V-1020,Cascade Coldchain Logistics,CCL-22480,01/12/2026,02/11/2026,USD,"4,598.67",0.00,Paid
B-20532,V-1151,Walla Walla Onion Growers,WWO-23323,06/09/2026,07/09/2026,USD,"10,332.75","10,332.75",Open
B-20533,V-1233,Lummi Bay Seafood,LBS-35349,03/23/2026,04/22/2026,USD,"15,115.47",0.00,Paid
B-20535,V-1239,Newberg Nut Growers,NNG-32472,12/24/2025,01/23/2026,USD,"5,255.37",0.00,Paid
B-20536,V-1226,Skagit Valley Grains,SVG-15726,06/19/2026,07/19/2026,USD,"14,466.03","14,466.03",Open
B-20537,V-1042,Pacific Coast Packaging LLC,PCP-23104,01/19/2026,02/18/2026,USD,"7,907.90",0.00,Paid
B-20540,V-1011,Klamath Basin Potato Co.,KBP-11806,06/08/2026,07/08/2026,USD,"9,820.78","9,820.78",Open
B-20541,V-1055,Wenatchee Pear Packers,WPP-34630,06/11/2026,07/11/2026,USD,"9,908.64","9,908.64",Open
