Account,Description,Period Ending,Debit,Credit
1260,Notes Receivable,04/30/2026,0.00,
1300,Inventory - Finished Goods,04/30/2026,"2,014,356.83",
1310,Inventory in Transit,04/30/2026,0.00,
1320,Inventory - Samples,04/30/2026,0.00,
1400,Prepaid Insurance,04/30/2026,"26,200.00",
1410,Prepaid Expenses - Other,04/30/2026,"18,400.00",
1420,Security Deposits,04/30/2026,"42,500.00",
1500,Warehouse Equipment,04/30/2026,"1,182,400.00",
1510,Vehicles,04/30/2026,"486,300.00",
1520,Leasehold Improvements,04/30/2026,"211,750.00",
1530,Office Furniture & Equipment,04/30/2026,"38,620.00",
1540,Computer Equipment,04/30/2026,"52,980.00",
1590,Accumulated Depreciation,04/30/2026,,"460,040.00"
1600,Utility Deposits,04/30/2026,"6,200.00",
1700,Customer Lists,04/30/2026,"60,000.00",
1790,Accumulated Amortization,04/30/2026,,"38,000.00"
2000,Accounts Payable,04/30/2026,,"1,110,590.38"
2050,Cascade Visa Business,04/30/2026,0.00,
2060,Amex Corporate (closed),04/30/2026,0.00,
2100,Accrued Liabilities,04/30/2026,,"16,808.77"
2150,Payroll Liabilities,04/30/2026,0.00,
2160,Accrued Commissions,04/30/2026,,"19,164.48"
2170,Accrued Vacation,04/30/2026,,"48,620.00"
2200,Sales Tax Payable,04/30/2026,0.00,
2210,Use Tax Payable,04/30/2026,0.00,
2220,Oregon CAT Payable,04/30/2026,,"7,840.00"
2300,Customer Deposits,04/30/2026,0.00,
2400,Deferred Revenue,04/30/2026,0.00,
2500,Line of Credit - First Cascade,04/30/2026,,"1,120,000.00"
2700,Equipment Loan - First Cascade,04/30/2026,,"249,000.00"
2710,Vehicle Loans,04/30/2026,,"94,200.00"
2800,Due to Shareholder,04/30/2026,0.00,
3000,Common Stock,04/30/2026,,"50,000.00"
3100,Additional Paid-In Capital,04/30/2026,,"150,000.00"
3900,Retained Earnings,04/30/2026,,"3,293,027.23"
3950,Shareholder Distributions,04/30/2026,0.00,
4000,Sales - Wholesale Grocery,04/30/2026,,"6,425,399.68"
4010,Sales - Foodservice,04/30/2026,,"638,804.30"
4100,Sales - Export,04/30/2026,,"102,532.84"
4200,Freight Income,04/30/2026,0.00,
4300,Rebate Income,04/30/2026,0.00,
4400,Miscellaneous Income,04/30/2026,0.00,
4900,Sales Discounts,04/30/2026,0.00,
4950,Returns & Allowances,04/30/2026,0.00,
5000,Cost of Goods Sold,04/30/2026,"5,215,222.51",
5010,Inventory Adjustments,04/30/2026,0.00,
5020,Purchase Price Variance,04/30/2026,0.00,
5030,Samples & Demos,04/30/2026,0.00,
5100,Inbound Freight - COGS,04/30/2026,0.00,
5150,Packaging Materials,04/30/2026,"151,356.63",
5200,Spoilage & Shrink,04/30/2026,0.00,
5300,Co-Packing Fees,04/30/2026,0.00,
6000,Advertising & Marketing,04/30/2026,567.58,
6010,Trade Shows,04/30/2026,"2,584.62",
6020,Website,04/30/2026,0.00,
6030,Meals & Entertainment,04/30/2026,0.00,
6040,Travel,04/30/2026,0.00,
6050,Donations,04/30/2026,0.00,
6060,Licenses & Permits,04/30/2026,"2,241.93",
6070,Property Taxes,04/30/2026,0.00,
6080,Business Taxes,04/30/2026,0.00,
6090,Recruiting,04/30/2026,0.00,
6100,Wages - Warehouse,04/30/2026,"492,392.71",
6105,Wages - Drivers,04/30/2026,"305,843.49",
6110,Wages - Office,04/30/2026,"273,142.63",
6120,Payroll Taxes,04/30/2026,"86,964.67",
6130,Employee Benefits,04/30/2026,0.00,
6140,Workers Compensation,04/30/2026,0.00,
6150,Sales Commissions,04/30/2026,"67,659.38",
6160,Temporary Labor,04/30/2026,"29,526.29",
6170,Training,04/30/2026,0.00,
6180,Employee Relations,04/30/2026,0.00,
6190,Payroll Processing Fees,04/30/2026,"1,444.48",
6200,Utilities - Electric,04/30/2026,"5,089.53",
6210,Utilities - Water & Sewer,04/30/2026,"1,947.18",
6220,Telephone & Internet,04/30/2026,"5,167.36",
6230,Utilities - Gas,04/30/2026,0.00,
6240,Waste Removal,04/30/2026,"2,489.65",
6300,Rent - Portland Warehouse,04/30/2026,"34,000.00",
6310,Rent - Seattle Warehouse,04/30/2026,"25,680.00",
6320,Rent - Boise Warehouse,04/30/2026,"19,500.00",
6330,Third-Party Storage,04/30/2026,"11,918.28",
6400,Freight-In,04/30/2026,"259,139.34",
6410,Freight Rebates,04/30/2026,,450.00
6420,Delivery Fuel,04/30/2026,"51,085.77",
6430,Vehicle Repairs & Maintenance,04/30/2026,"7,380.71",
6440,Tolls & Parking,04/30/2026,0.00,
6450,Vehicle Registration,04/30/2026,0.00,
6460,Vehicle Leases,04/30/2026,0.00,
6500,Insurance - General,04/30/2026,"13,100.00",
6510,Insurance - Vehicles,04/30/2026,"8,499.45",
6520,Insurance - Product Liability,04/30/2026,0.00,
6600,Repairs - Refrigeration & Equipment,04/30/2026,"10,748.80",
6610,Forklift Lease,04/30/2026,"9,007.59",
6620,Building Repairs,04/30/2026,"6,290.04",
6630,Small Tools & Equipment,04/30/2026,869.81,
6700,Depreciation Expense,04/30/2026,"47,400.00",
6710,Amortization Expense,04/30/2026,"2,000.00",
6800,Bad Debt Expense,04/30/2026,"1,700.00",
6810,Collection Fees,04/30/2026,0.00,
6900,Office Supplies,04/30/2026,"3,609.51",
6910,Postage & Delivery,04/30/2026,0.00,
6920,Bank Service Charges,04/30/2026,0.00,
6925,Merchant Fees,04/30/2026,0.00,
6930,Dues & Subscriptions,04/30/2026,"1,181.47",
6935,Software Subscriptions,04/30/2026,"2,258.26",
6940,Accounting Fees,04/30/2026,"25,362.76",
6945,Consulting Fees,04/30/2026,0.00,
6950,Legal Fees,04/30/2026,"5,319.16",
6960,IT Services,04/30/2026,"9,322.80",
6970,Janitorial,04/30/2026,"10,064.12",
6980,Pest Control,04/30/2026,"1,335.13",
6990,Uniforms & Laundry,04/30/2026,"4,338.66",
6995,Miscellaneous Expense (old),04/30/2026,0.00,
6999,Suspense – Clearing,04/30/2026,"2,315.77",
7100,Foreign Exchange Gain/Loss,04/30/2026,,201.95
7200,Interest Expense,04/30/2026,"28,342.24",
7300,Interest Income,04/30/2026,0.00,
7400,Gain/Loss on Asset Disposal,04/30/2026,0.00,
7900,Other Expense,04/30/2026,0.00,
8000,Owner Draw (old),04/30/2026,0.00,
1000,Petty Cash,05/31/2026,400.00,
1010,Operating Account - First Cascade 4471,05/31/2026,"282,746.18",
1015,Payroll Account - First Cascade 4488,05/31/2026,"5,000.00",
1020,Money Market - First Cascade 4490,05/31/2026,"250,000.00",
1030,Savings - Umpqua (closed),05/31/2026,0.00,
1100,Undeposited Funds,05/31/2026,0.00,
1110,Returned Checks,05/31/2026,0.00,
1200,Accounts Receivable,05/31/2026,"2,039,323.00",
1205,Allowance for Doubtful Accounts,05/31/2026,,"36,700.00"
1215,Employee Advances,05/31/2026,0.00,
1250,Other Receivables,05/31/2026,"3,150.00",
1260,Notes Receivable,05/31/2026,0.00,
1300,Inventory - Finished Goods,05/31/2026,"2,001,913.40",
1310,Inventory in Transit,05/31/2026,0.00,
1320,Inventory - Samples,05/31/2026,0.00,
1400,Prepaid Insurance,05/31/2026,"22,925.00",
1410,Prepaid Expenses - Other,05/31/2026,"18,400.00",
1420,Security Deposits,05/31/2026,"42,500.00",
1500,Warehouse Equipment,05/31/2026,"1,182,400.00",
1510,Vehicles,05/31/2026,"486,300.00",
1520,Leasehold Improvements,05/31/2026,"211,750.00",
1530,Office Furniture & Equipment,05/31/2026,"38,620.00",
1540,Computer Equipment,05/31/2026,"52,980.00",
1590,Accumulated Depreciation,05/31/2026,,"471,890.00"
1600,Utility Deposits,05/31/2026,"6,200.00",
1700,Customer Lists,05/31/2026,"60,000.00",
1790,Accumulated Amortization,05/31/2026,,"38,500.00"
2000,Accounts Payable,05/31/2026,,"1,162,127.02"
2050,Cascade Visa Business,05/31/2026,0.00,
2060,Amex Corporate (closed),05/31/2026,0.00,
2100,Accrued Liabilities,05/31/2026,,"15,495.34"
2150,Payroll Liabilities,05/31/2026,0.00,
2160,Accrued Commissions,05/31/2026,,"18,240.00"
2170,Accrued Vacation,05/31/2026,,"48,620.00"
2200,Sales Tax Payable,05/31/2026,0.00,
2210,Use Tax Payable,05/31/2026,0.00,
2220,Oregon CAT Payable,05/31/2026,,"7,840.00"
2300,Customer Deposits,05/31/2026,0.00,
2400,Deferred Revenue,05/31/2026,0.00,
2500,Line of Credit - First Cascade,05/31/2026,,"1,175,000.00"
2700,Equipment Loan - First Cascade,05/31/2026,,"244,150.00"
2710,Vehicle Loans,05/31/2026,,"94,200.00"
2800,Due to Shareholder,05/31/2026,0.00,
3000,Common Stock,05/31/2026,,"50,000.00"
3100,Additional Paid-In Capital,05/31/2026,,"150,000.00"
3900,Retained Earnings,05/31/2026,,"3,293,027.23"
3950,Shareholder Distributions,05/31/2026,0.00,
4000,Sales - Wholesale Grocery,05/31/2026,,"8,096,053.22"
4010,Sales - Foodservice,05/31/2026,,"769,578.74"
4100,Sales - Export,05/31/2026,,"137,486.72"
4200,Freight Income,05/31/2026,0.00,
4300,Rebate Income,05/31/2026,0.00,
4400,Miscellaneous Income,05/31/2026,0.00,
4900,Sales Discounts,05/31/2026,0.00,
4950,Returns & Allowances,05/31/2026,0.00,
5000,Cost of Goods Sold,05/31/2026,"6,546,585.60",
5010,Inventory Adjustments,05/31/2026,0.00,
5020,Purchase Price Variance,05/31/2026,0.00,
5030,Samples & Demos,05/31/2026,0.00,
5100,Inbound Freight - COGS,05/31/2026,0.00,
5150,Packaging Materials,05/31/2026,"187,596.66",
5200,Spoilage & Shrink,05/31/2026,0.00,
5300,Co-Packing Fees,05/31/2026,0.00,
6000,Advertising & Marketing,05/31/2026,"1,864.15",
6010,Trade Shows,05/31/2026,"2,584.62",
6020,Website,05/31/2026,0.00,
6030,Meals & Entertainment,05/31/2026,0.00,
6040,Travel,05/31/2026,0.00,
6050,Donations,05/31/2026,0.00,
6060,Licenses & Permits,05/31/2026,"2,241.93",
6070,Property Taxes,05/31/2026,0.00,
6080,Business Taxes,05/31/2026,0.00,
6090,Recruiting,05/31/2026,0.00,
6100,Wages - Warehouse,05/31/2026,"614,728.54",
6105,Wages - Drivers,05/31/2026,"381,529.53",
6110,Wages - Office,05/31/2026,"342,268.47",
6120,Payroll Taxes,05/31/2026,"108,867.54",
6130,Employee Benefits,05/31/2026,0.00,
6140,Workers Compensation,05/31/2026,0.00,
6150,Sales Commissions,05/31/2026,"85,899.38",
6160,Temporary Labor,05/31/2026,"34,156.54",
6170,Training,05/31/2026,0.00,
6180,Employee Relations,05/31/2026,0.00,
6190,Payroll Processing Fees,05/31/2026,"1,858.12",
6200,Utilities - Electric,05/31/2026,"6,457.65",
6210,Utilities - Water & Sewer,05/31/2026,"2,453.20",
6220,Telephone & Internet,05/31/2026,"6,499.97",
6230,Utilities - Gas,05/31/2026,0.00,
6240,Waste Removal,05/31/2026,"3,164.18",
6300,Rent - Portland Warehouse,05/31/2026,"42,500.00",
6310,Rent - Seattle Warehouse,05/31/2026,"32,100.00",
6320,Rent - Boise Warehouse,05/31/2026,"24,375.00",
6330,Third-Party Storage,05/31/2026,"15,807.65",
6400,Freight-In,05/31/2026,"327,571.76",
6410,Freight Rebates,05/31/2026,0.00,
6420,Delivery Fuel,05/31/2026,"64,977.71",
6430,Vehicle Repairs & Maintenance,05/31/2026,"7,733.98",
6440,Tolls & Parking,05/31/2026,0.00,
6450,Vehicle Registration,05/31/2026,0.00,
6460,Vehicle Leases,05/31/2026,0.00,
6500,Insurance - General,05/31/2026,"16,375.00",
6510,Insurance - Vehicles,05/31/2026,"16,543.88",
6520,Insurance - Product Liability,05/31/2026,0.00,
6600,Repairs - Refrigeration & Equipment,05/31/2026,"20,023.66",
6610,Forklift Lease,05/31/2026,"11,321.19",
6620,Building Repairs,05/31/2026,"11,165.34",
6630,Small Tools & Equipment,05/31/2026,869.81,
6700,Depreciation Expense,05/31/2026,"59,250.00",
6710,Amortization Expense,05/31/2026,"2,500.00",
6800,Bad Debt Expense,05/31/2026,"1,700.00",
6810,Collection Fees,05/31/2026,0.00,
6900,Office Supplies,05/31/2026,"4,642.34",
6910,Postage & Delivery,05/31/2026,0.00,
6920,Bank Service Charges,05/31/2026,0.00,
6925,Merchant Fees,05/31/2026,0.00,
6930,Dues & Subscriptions,05/31/2026,"1,181.47",
6935,Software Subscriptions,05/31/2026,"2,876.71",
6940,Accounting Fees,05/31/2026,"34,409.83",
6945,Consulting Fees,05/31/2026,0.00,
6950,Legal Fees,05/31/2026,"8,620.87",
6960,IT Services,05/31/2026,"11,669.10",
6970,Janitorial,05/31/2026,"12,663.50",
6980,Pest Control,05/31/2026,"1,688.57",
6990,Uniforms & Laundry,05/31/2026,"5,369.41",
6995,Miscellaneous Expense (old),05/31/2026,0.00,
6999,Suspense – Clearing,05/31/2026,"2,315.77",
7100,Foreign Exchange Gain/Loss,05/31/2026,,859.68
7200,Interest Expense,05/31/2026,"36,151.74",
7300,Interest Income,05/31/2026,0.00,
7400,Gain/Loss on Asset Disposal,05/31/2026,0.00,
7900,Other Expense,05/31/2026,0.00,
8000,Owner Draw (old),05/31/2026,0.00,
1000,Petty Cash,06/30/2026,400.00,
1010,Operating Account - First Cascade 4471,06/30/2026,"412,906.18",
1015,Payroll Account - First Cascade 4488,06/30/2026,"5,000.00",
1020,Money Market - First Cascade 4490,06/30/2026,"250,000.00",
1030,Savings - Umpqua (closed),06/30/2026,0.00,
1100,Undeposited Funds,06/30/2026,0.00,
1110,Returned Checks,06/30/2026,0.00,
1200,Accounts Receivable,06/30/2026,"2,135,769.00",
1205,Allowance for Doubtful Accounts,06/30/2026,,"38,400.00"
1215,Employee Advances,06/30/2026,0.00,
1250,Other Receivables,06/30/2026,"3,150.00",
1260,Notes Receivable,06/30/2026,0.00,
1300,Inventory - Finished Goods,06/30/2026,"1,915,427.96",
1310,Inventory in Transit,06/30/2026,0.00,
1320,Inventory - Samples,06/30/2026,0.00,
1400,Prepaid Insurance,06/30/2026,"19,650.00",
1410,Prepaid Expenses - Other,06/30/2026,"18,400.00",
1420,Security Deposits,06/30/2026,"42,500.00",
1500,Warehouse Equipment,06/30/2026,"1,182,400.00",
1510,Vehicles,06/30/2026,"486,300.00",
1520,Leasehold Improvements,06/30/2026,"211,750.00",
1530,Office Furniture & Equipment,06/30/2026,"38,620.00",
1540,Computer Equipment,06/30/2026,"52,980.00",
1590,Accumulated Depreciation,06/30/2026,,"483,740.00"
1600,Utility Deposits,06/30/2026,"6,200.00",
1700,Customer Lists,06/30/2026,"60,000.00",
1790,Accumulated Amortization,06/30/2026,,"39,000.00"
2000,Accounts Payable,06/30/2026,,"1,188,436.65"
2050,Cascade Visa Business,06/30/2026,0.00,
2060,Amex Corporate (closed),06/30/2026,0.00,
2100,Accrued Liabilities,06/30/2026,,"14,705.41"
2150,Payroll Liabilities,06/30/2026,0.00,
2160,Accrued Commissions,06/30/2026,,"17,103.33"
2170,Accrued Vacation,06/30/2026,,"48,620.00"
2200,Sales Tax Payable,06/30/2026,0.00,
2210,Use Tax Payable,06/30/2026,0.00,
2220,Oregon CAT Payable,06/30/2026,,"7,840.00"
2300,Customer Deposits,06/30/2026,0.00,
2400,Deferred Revenue,06/30/2026,0.00,
2500,Line of Credit - First Cascade,06/30/2026,,"1,230,000.00"
2700,Equipment Loan - First Cascade,06/30/2026,,"239,300.00"
2710,Vehicle Loans,06/30/2026,,"94,200.00"
2800,Due to Shareholder,06/30/2026,0.00,
3000,Common Stock,06/30/2026,,"50,000.00"
3100,Additional Paid-In Capital,06/30/2026,,"150,000.00"
3900,Retained Earnings,06/30/2026,,"3,293,027.23"
3950,Shareholder Distributions,06/30/2026,0.00,
4000,Sales - Wholesale Grocery,06/30/2026,,"9,878,923.41"
4010,Sales - Foodservice,06/30/2026,,"891,778.49"
4100,Sales - Export,06/30/2026,,"170,497.53"
4200,Freight Income,06/30/2026,0.00,
4300,Rebate Income,06/30/2026,0.00,
4400,Miscellaneous Income,06/30/2026,0.00,
4900,Sales Discounts,06/30/2026,0.00,
4950,Returns & Allowances,06/30/2026,0.00,
5000,Cost of Goods Sold,06/30/2026,"7,952,071.91",
5010,Inventory Adjustments,06/30/2026,0.00,
5020,Purchase Price Variance,06/30/2026,0.00,
5030,Samples & Demos,06/30/2026,0.00,
5100,Inbound Freight - COGS,06/30/2026,0.00,
5150,Packaging Materials,06/30/2026,"212,470.92",
5200,Spoilage & Shrink,06/30/2026,0.00,
5300,Co-Packing Fees,06/30/2026,0.00,
6000,Advertising & Marketing,06/30/2026,"1,864.15",
6010,Trade Shows,06/30/2026,"2,584.62",
6020,Website,06/30/2026,0.00,
6030,Meals & Entertainment,06/30/2026,0.00,
6040,Travel,06/30/2026,0.00,
6050,Donations,06/30/2026,0.00,
6060,Licenses & Permits,06/30/2026,"2,241.93",
6070,Property Taxes,06/30/2026,0.00,
6080,Business Taxes,06/30/2026,0.00,
6090,Recruiting,06/30/2026,0.00,
6100,Wages - Warehouse,06/30/2026,"737,041.89",
6105,Wages - Drivers,06/30/2026,"456,456.52",
6110,Wages - Office,06/30/2026,"412,496.46",
6120,Payroll Taxes,06/30/2026,"130,724.22",
6130,Employee Benefits,06/30/2026,0.00,
6140,Workers Compensation,06/30/2026,0.00,
6150,Sales Commissions,06/30/2026,"103,002.71",
6160,Temporary Labor,06/30/2026,"41,144.01",
6170,Training,06/30/2026,0.00,
6180,Employee Relations,06/30/2026,0.00,
6190,Payroll Processing Fees,06/30/2026,"2,227.32",
6200,Utilities - Electric,06/30/2026,"7,613.10",
6210,Utilities - Water & Sewer,06/30/2026,"3,020.83",
6220,Telephone & Internet,06/30/2026,"7,792.90",
6230,Utilities - Gas,06/30/2026,0.00,
6240,Waste Removal,06/30/2026,"3,766.39",
6300,Rent - Portland Warehouse,06/30/2026,"51,000.00",
6310,Rent - Seattle Warehouse,06/30/2026,"38,520.00",
6320,Rent - Boise Warehouse,06/30/2026,"29,250.00",
6330,Third-Party Storage,06/30/2026,"18,159.86",
6400,Freight-In,06/30/2026,"391,060.50",
6410,Freight Rebates,06/30/2026,0.00,
6420,Delivery Fuel,06/30/2026,"76,814.00",
6430,Vehicle Repairs & Maintenance,06/30/2026,"10,168.99",
6440,Tolls & Parking,06/30/2026,0.00,
6450,Vehicle Registration,06/30/2026,0.00,
6460,Vehicle Leases,06/30/2026,0.00,
6500,Insurance - General,06/30/2026,"19,650.00",
6510,Insurance - Vehicles,06/30/2026,"16,543.88",
6520,Insurance - Product Liability,06/30/2026,0.00,
6600,Repairs - Refrigeration & Equipment,06/30/2026,"27,652.89",
6610,Forklift Lease,06/30/2026,"13,499.69",
6620,Building Repairs,06/30/2026,"11,165.34",
6630,Small Tools & Equipment,06/30/2026,"1,365.67",
6700,Depreciation Expense,06/30/2026,"71,100.00",
6710,Amortization Expense,06/30/2026,"3,000.00",
6800,Bad Debt Expense,06/30/2026,"3,400.00",
6810,Collection Fees,06/30/2026,0.00,
6900,Office Supplies,06/30/2026,"5,088.00",
6910,Postage & Delivery,06/30/2026,0.00,
6920,Bank Service Charges,06/30/2026,0.00,
6925,Merchant Fees,06/30/2026,0.00,
6930,Dues & Subscriptions,06/30/2026,"1,181.47",
6935,Software Subscriptions,06/30/2026,"3,366.37",
6940,Accounting Fees,06/30/2026,"34,409.83",
6945,Consulting Fees,06/30/2026,0.00,
6950,Legal Fees,06/30/2026,"8,620.87",
6960,IT Services,06/30/2026,"14,020.03",
6970,Janitorial,06/30/2026,"14,723.58",
6980,Pest Control,06/30/2026,"2,074.22",
6990,Uniforms & Laundry,06/30/2026,"6,401.43",
6995,Miscellaneous Expense (old),06/30/2026,0.00,
6999,Suspense – Clearing,06/30/2026,"2,315.77",
7100,Foreign Exchange Gain/Loss,06/30/2026,,"1,204.17"
7200,Interest Expense,06/30/2026,"44,250.81",
7300,Interest Income,06/30/2026,0.00,
7400,Gain/Loss on Asset Disposal,06/30/2026,0.00,
7900,Other Expense,06/30/2026,0.00,
8000,Owner Draw (old),06/30/2026,0.00,
