Invoice No,Customer ID,Customer Name,Invoice Date,Due Date,Terms,Currency,Subtotal,Tax,Total,Exchange Rate,Total (USD),Balance Due,Status
INV-10170,C-0357,Mountain Grocers LLC,02/02/2026,03/04/2026,Net 30,USD,"13,584.66",0.00,"13,584.66",1.0000,"13,584.66",0.00,Paid
INV-10171,C-0142,Sextant Bakery,02/02/2026,02/17/2026,Net 15,USD,"1,250.19",0.00,"1,250.19",1.0000,"1,250.19",0.00,Paid
INV-10172,C-0420,Nehalem Bay Grocers,02/02/2026,03/04/2026,Net 30,USD,"14,837.18",0.00,"14,837.18",1.0000,"14,837.18",0.00,Paid
INV-10173,C-0143,Gorge Valley Co-op,02/09/2026,03/11/2026,Net 30,USD,"22,039.54",0.00,"22,039.54",1.0000,"22,039.54",0.00,Paid
INV-10174,C-0183,Madrona Food Co-op,02/10/2026,03/12/2026,Net 30,USD,"15,703.92",0.00,"15,703.92",1.0000,"15,703.92",0.00,Paid
INV-10175,C-0200,Ember Lane Grocers,02/10/2026,03/12/2026,Net 30,USD,"11,572.69",0.00,"11,572.69",1.0000,"11,572.69",0.00,Paid
INV-10176,C-0046,Yakima Orchard Market,02/02/2026,03/04/2026,Net 30,USD,"14,521.32",0.00,"14,521.32",1.0000,"14,521.32",0.00,Paid
INV-10177,C-0076,Thimbleberry Eatery,02/02/2026,02/17/2026,Net 15,USD,"3,119.55",0.00,"3,119.55",1.0000,"3,119.55",0.00,Paid
INV-10178,C-0100,Copperleaf Brasserie,02/02/2026,02/17/2026,Net 15,USD,"2,233.93",0.00,"2,233.93",1.0000,"2,233.93",0.00,Paid
INV-10179,C-0036,Alpine Eatery,02/03/2026,02/18/2026,Net 15,USD,"1,707.08",0.00,"1,707.08",1.0000,"1,707.08",0.00,Paid
INV-10180,C-0233,Rose City Market Hall,02/03/2026,03/05/2026,Net 30,USD,"14,044.15",0.00,"14,044.15",1.0000,"14,044.15",0.00,Paid
INV-10181,C-0348,Foxglove Market,02/10/2026,03/12/2026,Net 30,USD,"19,463.67",0.00,"19,463.67",1.0000,"19,463.67",0.00,Paid
INV-10182,C-0012,Olallie Market,02/09/2026,03/11/2026,Net 30,USD,"22,174.58",0.00,"22,174.58",1.0000,"22,174.58",0.00,Paid
INV-10183,C-0198,GREEN VALLEY COOP #2,02/09/2026,03/11/2026,Net 30,USD,"28,363.46",0.00,"28,363.46",1.0000,"28,363.46",0.00,Paid
INV-10184,C-0427,Deschutes Food Hall,02/09/2026,03/11/2026,Net 30,USD,"16,594.07",0.00,"16,594.07",1.0000,"16,594.07",0.00,Paid
INV-10185,C-0331,Ironwood Grocery,02/11/2026,03/13/2026,Net 30,USD,"13,736.93",0.00,"13,736.93",1.0000,"13,736.93",0.00,Paid
INV-10186,C-0182,Jasper Bakery,02/04/2026,02/19/2026,Net 15,USD,"3,932.30",0.00,"3,932.30",1.0000,"3,932.30",0.00,Paid
INV-10187,C-0362,Quince Noodle House,02/05/2026,02/20/2026,Net 15,USD,"3,167.86",0.00,"3,167.86",1.0000,"3,167.86",0.00,Paid
INV-10188,C-0297,Canopy Deli,02/06/2026,02/21/2026,Net 15,USD,"1,617.39",0.00,"1,617.39",1.0000,"1,617.39",0.00,Paid
INV-10189,C-0425,Thistle Pizzeria,02/06/2026,02/21/2026,Net 15,USD,"1,633.06",0.00,"1,633.06",1.0000,"1,633.06",0.00,Paid
INV-10190,C-0064,Juniper Hill Foods,02/11/2026,03/13/2026,Net 30,USD,"19,804.13",0.00,"19,804.13",1.0000,"19,804.13",0.00,Paid
INV-10191,C-0389,Umpqua Valley Foods,02/13/2026,03/15/2026,Net 30,USD,"19,512.87",0.00,"19,512.87",1.0000,"19,512.87",0.00,Paid
INV-10192,C-0090,Zigzag Mountain Grocery,02/09/2026,03/11/2026,Net 30,USD,"20,576.03",0.00,"20,576.03",1.0000,"20,576.03",0.00,Paid
INV-10193,C-0158,Umber Grill,02/06/2026,02/21/2026,Net 15,USD,"2,369.46",0.00,"2,369.46",1.0000,"2,369.46",0.00,Paid
INV-10194,C-0335,Mountain Grocers Inc.,02/09/2026,03/11/2026,Net 30,USD,"14,197.43",0.00,"14,197.43",1.0000,"14,197.43",0.00,Paid
INV-10195,C-0033,Treasure Valley Market,02/09/2026,03/11/2026,Net 30,USD,"12,292.81",0.00,"12,292.81",1.0000,"12,292.81",0.00,Paid
INV-10196,C-0105,Whidbey Harvest Co-op,02/09/2026,03/11/2026,Net 30,USD,"16,043.97",0.00,"16,043.97",1.0000,"16,043.97",0.00,Paid
INV-10197,C-0155,Lodestar Cafe,02/09/2026,02/24/2026,Net 15,USD,"3,419.34",0.00,"3,419.34",1.0000,"3,419.34",0.00,Paid
INV-10198,C-0264,Vale Brasserie,02/09/2026,02/24/2026,Net 15,USD,"3,100.36",0.00,"3,100.36",1.0000,"3,100.36",0.00,Paid
INV-10199,C-0273,Coldwater Creek Market,02/09/2026,03/11/2026,Net 30,USD,"24,949.92",0.00,"24,949.92",1.0000,"24,949.92",0.00,Paid
INV-10200,C-0328,Drumlin Bakery,02/09/2026,02/24/2026,Net 15,USD,"2,338.71",0.00,"2,338.71",1.0000,"2,338.71",0.00,Paid
INV-10201,C-0027,Cascade Harvest Grocers,02/10/2026,03/12/2026,Net 30,USD,"27,885.46",0.00,"27,885.46",1.0000,"27,885.46",0.00,Paid
INV-10202,C-0379,Filbert & Oak Market,02/16/2026,03/18/2026,Net 30,USD,"17,686.71",0.00,"17,686.71",1.0000,"17,686.71",0.00,Paid
INV-10203,C-0115,Gull Eatery,02/09/2026,02/24/2026,Net 15,USD,990.78,0.00,990.78,1.0000,990.78,0.00,Paid
INV-10204,C-0146,Jetty Tavern,02/09/2026,02/24/2026,Net 15,USD,"2,234.55",0.00,"2,234.55",1.0000,"2,234.55",0.00,Paid
INV-10205,C-0163,Elk Rock Provisions,02/09/2026,03/11/2026,Net 30,USD,"16,222.47",0.00,"16,222.47",1.0000,"16,222.47",0.00,Paid
INV-10206,C-0171,Dune Cantina,02/09/2026,02/24/2026,Net 15,USD,"2,286.68",0.00,"2,286.68",1.0000,"2,286.68",0.00,Paid
INV-10207,C-0074,Estuary Smokehouse,02/09/2026,02/24/2026,Net 15,USD,"1,451.87",0.00,"1,451.87",1.0000,"1,451.87",0.00,Paid
INV-10208,C-0108,Millrace Pizzeria,02/09/2026,02/24/2026,Net 15,USD,"3,649.53",0.00,"3,649.53",1.0000,"3,649.53",0.00,Paid
INV-10209,C-0133,Sawtooth Natural Foods,02/09/2026,03/11/2026,Net 30,USD,"12,231.32",0.00,"12,231.32",1.0000,"12,231.32",0.00,Paid
INV-10210,C-0156,Hollow Noodle House,02/09/2026,02/24/2026,Net 15,USD,"3,816.24",0.00,"3,816.24",1.0000,"3,816.24",0.00,Paid
INV-10211,C-0197,Elderberry Deli,02/09/2026,02/24/2026,Net 15,USD,"3,868.65",0.00,"3,868.65",1.0000,"3,868.65",0.00,Paid
INV-10212,C-0402,Verbena Supper Club,02/09/2026,02/24/2026,Net 15,USD,"2,133.20",0.00,"2,133.20",1.0000,"2,133.20",0.00,Paid
INV-10213,C-0400,Salmonberry Market,02/10/2026,03/12/2026,Net 30,USD,"22,885.38",0.00,"22,885.38",1.0000,"22,885.38",0.00,Paid
INV-10214,C-0122,Owyhee Mercantile,02/11/2026,03/13/2026,Net 30,USD,"16,402.50",0.00,"16,402.50",1.0000,"16,402.50",0.00,Paid
INV-10215,C-0046,Yakima Orchard Market,02/16/2026,03/18/2026,Net 30,USD,"19,843.22",0.00,"19,843.22",1.0000,"19,843.22",0.00,Paid
INV-10216,C-0088,Palouse Provisions,02/16/2026,03/18/2026,Net 30,USD,"16,261.42",0.00,"16,261.42",1.0000,"16,261.42",0.00,Paid
INV-10217,C-0420,Nehalem Bay Grocers,02/18/2026,03/20/2026,Net 30,USD,"22,548.10",0.00,"22,548.10",1.0000,"22,548.10",0.00,Paid
INV-10218,C-0209,Kelp Grill,02/12/2026,02/27/2026,Net 15,USD,"1,486.46",0.00,"1,486.46",1.0000,"1,486.46",0.00,Paid
INV-10219,C-0278,Sorrel Cantina,02/12/2026,02/27/2026,Net 15,USD,"1,237.45",0.00,"1,237.45",1.0000,"1,237.45",0.00,Paid
INV-10220,C-0415,Kestrel Market Hall,02/16/2026,03/18/2026,Net 30,USD,"16,006.83",0.00,"16,006.83",1.0000,"16,006.83",0.00,Paid
INV-10221,C-0069,Riverbend Natural Grocers,02/11/2026,03/13/2026,Net 30,USD,"21,887.96",0.00,"21,887.96",1.0000,"21,887.96",0.00,Paid
INV-10222,C-0282,Yarrow Deli,02/13/2026,02/28/2026,Net 15,USD,"1,089.54",0.00,"1,089.54",1.0000,"1,089.54",0.00,Paid
INV-10223,C-0107,Green Valley Co-op,02/16/2026,03/18/2026,Net 30,USD,"15,005.21",0.00,"15,005.21",1.0000,"15,005.21",0.00,Paid
INV-10224,C-0233,Rose City Market Hall,02/18/2026,03/20/2026,Net 30,USD,"20,619.60",0.00,"20,619.60",1.0000,"20,619.60",0.00,Paid
INV-10225,C-0371,Marrow Brasserie,02/12/2026,02/27/2026,Net 15,USD,"2,421.00",0.00,"2,421.00",1.0000,"2,421.00",0.00,Paid
INV-10226,C-0112,Loam Bakery,02/13/2026,02/28/2026,Net 15,USD,"3,927.04",0.00,"3,927.04",1.0000,"3,927.04",0.00,Paid
INV-10227,C-0298,Nimbus Cafe,02/13/2026,02/28/2026,Net 15,USD,"1,397.16",0.00,"1,397.16",1.0000,"1,397.16",0.00,Paid
INV-10228,C-0411,Iris Taproom,02/13/2026,02/28/2026,Net 15,USD,"2,695.21",0.00,"2,695.21",1.0000,"2,695.21",0.00,Paid
INV-10229,C-0396,Driftwood Pantry,02/19/2026,03/21/2026,Net 30,USD,"14,235.35",0.00,"14,235.35",1.0000,"14,235.35",0.00,Paid
INV-10230,C-0330,Alder Street Market,02/16/2026,03/18/2026,Net 30,USD,"25,297.50",0.00,"25,297.50",1.0000,"25,297.50",0.00,Paid
INV-10231,C-0399,Larch Mountain Mercantile,02/16/2026,03/18/2026,Net 30,USD,"22,777.06",0.00,"22,777.06",1.0000,"22,777.06",0.00,Paid
INV-10232,C-0414,Belmont Natural Foods,02/16/2026,03/18/2026,Net 30,USD,"13,382.71",0.00,"13,382.71",1.0000,"13,382.71",0.00,Paid
INV-10233,C-0147,Vashon Island Market,02/16/2026,03/18/2026,Net 30,USD,"14,542.81",0.00,"14,542.81",1.0000,"14,542.81",0.00,Paid
INV-10234,C-0186,Hawthorne Fresh Market,02/16/2026,03/18/2026,Net 30,USD,"12,682.86",0.00,"12,682.86",1.0000,"12,682.86",0.00,Paid
INV-10235,C-0299,Orchard Bakery,02/16/2026,03/03/2026,Net 15,USD,"2,005.61",0.00,"2,005.61",1.0000,"2,005.61",0.00,Paid
INV-10236,C-0325,Cobalt Cafe,02/16/2026,03/03/2026,Net 15,USD,"1,846.52",0.00,"1,846.52",1.0000,"1,846.52",0.00,Paid
INV-10237,C-0349,Dovetail Taproom,02/16/2026,03/03/2026,Net 15,USD,"2,911.95",0.00,"2,911.95",1.0000,"2,911.95",0.00,Paid
INV-10238,C-0380,Quill Grill,02/16/2026,03/03/2026,Net 15,USD,"1,186.49",0.00,"1,186.49",1.0000,"1,186.49",0.00,Paid
INV-10239,C-0045,Bridgetown Pantry,02/17/2026,03/19/2026,Net 30,USD,"19,778.95",0.00,"19,778.95",1.0000,"19,778.95",0.00,Paid
INV-10240,C-0037,Bellwether Tavern,02/16/2026,03/03/2026,Net 15,USD,"1,495.38",0.00,"1,495.38",1.0000,"1,495.38",0.00,Paid
INV-10241,C-0264,Vale Brasserie,02/16/2026,03/03/2026,Net 15,USD,871.18,0.00,871.18,1.0000,871.18,0.00,Paid
INV-10242,C-0096,Pioneer Square Provisions,02/17/2026,03/19/2026,Net 30,USD,"20,727.83",0.00,"20,727.83",1.0000,"20,727.83",0.00,Paid
INV-10243,C-0357,Mountain Grocers LLC,02/18/2026,03/20/2026,Net 30,USD,"28,409.10",0.00,"28,409.10",1.0000,"28,409.10",0.00,Paid
INV-10244,C-0273,Coldwater Creek Market,02/23/2026,03/25/2026,Net 30,USD,"27,605.07",0.00,"27,605.07",1.0000,"27,605.07",0.00,Paid
INV-10245,C-0105,Whidbey Harvest Co-op,02/24/2026,03/26/2026,Net 30,USD,"27,441.36",0.00,"27,441.36",1.0000,"27,441.36",0.00,Paid
INV-10246,C-0247,Wren Noodle House,02/16/2026,03/03/2026,Net 15,USD,"2,443.47",0.00,"2,443.47",1.0000,"2,443.47",0.00,Paid
INV-10247,C-0365,Quarry Bistro,02/16/2026,03/03/2026,Net 15,USD,"3,058.38",0.00,"3,058.38",1.0000,"3,058.38",0.00,Paid
INV-10248,C-0193,Quinault Country Store,02/20/2026,03/22/2026,Net 30,USD,"23,422.07",0.00,"23,422.07",1.0000,"23,422.07",0.00,Paid
INV-10249,C-0198,GREEN VALLEY COOP #2,02/23/2026,03/25/2026,Net 30,USD,"16,422.82",0.00,"16,422.82",1.0000,"16,422.82",0.00,Paid
INV-10250,C-0012,Olallie Market,02/25/2026,03/27/2026,Net 30,USD,"18,089.65",0.00,"18,089.65",1.0000,"18,089.65",0.00,Paid
INV-10251,C-0033,Treasure Valley Market,02/23/2026,03/25/2026,Net 30,USD,"25,655.12",0.00,"25,655.12",1.0000,"25,655.12",0.00,Paid
INV-10252,C-0122,Owyhee Mercantile,02/25/2026,03/27/2026,Net 30,USD,"27,833.34",0.00,"27,833.34",1.0000,"27,833.34",0.00,Paid
INV-10253,C-0306,Tillamook Road Grocery,02/20/2026,03/22/2026,Net 30,USD,"11,413.96",0.00,"11,413.96",1.0000,"11,413.96",0.00,Paid
INV-10254,C-0069,Riverbend Natural Grocers,02/23/2026,03/25/2026,Net 30,USD,"26,627.75",0.00,"26,627.75",1.0000,"26,627.75",0.00,Paid
INV-10255,C-0163,Elk Rock Provisions,02/23/2026,03/25/2026,Net 30,USD,"11,837.06",0.00,"11,837.06",1.0000,"11,837.06",0.00,Paid
INV-10256,C-0301,Alpenkost GmbH,04/01/2026,06/30/2026,Net 90,EUR,"9,045.31",0.00,"9,045.31",1.0812,"9,779.79","9,045.31",Open
INV-10257,C-0055,Lumen Kitchen,02/19/2026,03/06/2026,Net 15,USD,"2,468.89",0.00,"2,468.89",1.0000,"2,468.89",0.00,Paid
INV-10258,C-0145,Hearth Cantina,02/20/2026,03/07/2026,Net 15,USD,717.41,0.00,717.41,1.0000,717.41,0.00,Paid
INV-10259,C-0206,Otter Brasserie,02/20/2026,03/07/2026,Net 15,USD,"1,395.83",0.00,"1,395.83",1.0000,"1,395.83",0.00,Paid
INV-10260,C-0064,Juniper Hill Foods,02/23/2026,03/25/2026,Net 30,USD,"21,451.13",0.00,"21,451.13",1.0000,"21,451.13",0.00,Paid
INV-10261,C-0143,Gorge Valley Co-op,02/23/2026,03/25/2026,Net 30,USD,"25,616.78",0.00,"25,616.78",1.0000,"25,616.78",0.00,Paid
INV-10262,C-0335,Mountain Grocers Inc.,02/23/2026,03/25/2026,Net 30,USD,"19,806.28",0.00,"19,806.28",1.0000,"19,806.28",0.00,Paid
INV-10263,C-0400,Salmonberry Market,02/23/2026,03/25/2026,Net 30,USD,"19,331.23",0.00,"19,331.23",1.0000,"19,331.23",0.00,Paid
INV-10264,C-0427,Deschutes Food Hall,02/23/2026,03/25/2026,Net 30,USD,"14,897.69",0.00,"14,897.69",1.0000,"14,897.69",0.00,Paid
INV-10265,C-0027,Cascade Harvest Grocers,02/26/2026,03/28/2026,Net 30,USD,"11,533.86",0.00,"11,533.86",1.0000,"11,533.86",0.00,Paid
INV-10266,C-0331,Ironwood Grocery,02/27/2026,03/29/2026,Net 30,USD,"23,985.37",0.00,"23,985.37",1.0000,"23,985.37",0.00,Paid
INV-10267,C-0301,Alpenkost GmbH,03/23/2026,06/21/2026,Net 90,EUR,"10,120.30",0.00,"10,120.30",1.0828,"10,958.26","10,120.30",Open
INV-10268,C-0348,Foxglove Market,02/23/2026,03/25/2026,Net 30,USD,"16,366.94",0.00,"16,366.94",1.0000,"16,366.94",0.00,Paid
INV-10269,C-0090,Zigzag Mountain Grocery,02/24/2026,03/26/2026,Net 30,USD,"12,860.13",0.00,"12,860.13",1.0000,"12,860.13",0.00,Paid
INV-10270,C-0133,Sawtooth Natural Foods,02/23/2026,03/25/2026,Net 30,USD,"16,960.88",0.00,"16,960.88",1.0000,"16,960.88",0.00,Paid
INV-10271,C-0145,Hearth Cantina,02/23/2026,03/10/2026,Net 15,USD,"1,186.08",0.00,"1,186.08",1.0000,"1,186.08",0.00,Paid
INV-10272,C-0155,Lodestar Cafe,02/23/2026,03/10/2026,Net 15,USD,"1,098.61",0.00,"1,098.61",1.0000,"1,098.61",0.00,Paid
INV-10273,C-0171,Dune Cantina,02/23/2026,03/10/2026,Net 15,USD,"1,783.70",0.00,"1,783.70",1.0000,"1,783.70",0.00,Paid
INV-10274,C-0323,Waxwing Eatery,02/23/2026,03/10/2026,Net 15,USD,702.71,0.00,702.71,1.0000,702.71,0.00,Paid
INV-10275,C-0334,Isle Smokehouse,02/23/2026,03/10/2026,Net 15,USD,"4,121.26",0.00,"4,121.26",1.0000,"4,121.26",0.00,Paid
INV-10276,C-0183,Madrona Food Co-op,02/25/2026,03/27/2026,Net 30,USD,"16,883.54",0.00,"16,883.54",1.0000,"16,883.54",0.00,Paid
INV-10277,C-0303,Trillium Bistro,02/23/2026,03/10/2026,Net 15,USD,"2,865.72",0.00,"2,865.72",1.0000,"2,865.72",0.00,Paid
INV-10278,C-0403,Basalt Grill,02/23/2026,03/10/2026,Net 15,USD,"1,562.20",0.00,"1,562.20",1.0000,"1,562.20",0.00,Paid
INV-10279,C-0161,Bramble Noodle House,02/24/2026,03/11/2026,Net 15,USD,"3,525.42",0.00,"3,525.42",1.0000,"3,525.42",0.00,Paid
INV-10280,C-0379,Filbert & Oak Market,03/02/2026,04/01/2026,Net 30,USD,"24,872.86",0.00,"24,872.86",1.0000,"24,872.86",0.00,Paid
INV-10281,C-0414,Belmont Natural Foods,03/02/2026,04/01/2026,Net 30,USD,"18,191.63",0.00,"18,191.63",1.0000,"18,191.63",0.00,Paid
INV-10282,C-0209,Kelp Grill,02/23/2026,03/10/2026,Net 15,USD,"2,476.56",0.00,"2,476.56",1.0000,"2,476.56",0.00,Paid
INV-10283,C-0272,Ramble Deli,02/23/2026,03/10/2026,Net 15,USD,"2,350.35",0.00,"2,350.35",1.0000,"2,350.35",0.00,Paid
INV-10284,C-0158,Umber Grill,02/24/2026,03/11/2026,Net 15,USD,"2,854.93",0.00,"2,854.93",1.0000,"2,854.93",0.00,Paid
INV-10285,C-0197,Elderberry Deli,02/25/2026,03/12/2026,Net 15,USD,"1,063.39",0.00,"1,063.39",1.0000,"1,063.39",0.00,Paid
INV-10286,C-0389,Umpqua Valley Foods,03/02/2026,04/01/2026,Net 30,USD,"25,286.64",0.00,"25,286.64",1.0000,"25,286.64",0.00,Paid
INV-10287,C-0420,Nehalem Bay Grocers,03/04/2026,04/03/2026,Net 30,USD,"23,206.93",0.00,"23,206.93",1.0000,"23,206.93",0.00,Paid
INV-10288,C-0200,Ember Lane Grocers,02/25/2026,03/27/2026,Net 30,USD,"28,140.68",0.00,"28,140.68",1.0000,"28,140.68",0.00,Paid
INV-10289,C-0233,Rose City Market Hall,03/03/2026,04/02/2026,Net 30,USD,"14,801.76",0.00,"14,801.76",1.0000,"14,801.76",0.00,Paid
INV-10290,C-0096,Pioneer Square Provisions,03/04/2026,04/03/2026,Net 30,USD,"16,252.74",0.00,"16,252.74",1.0000,"16,252.74",0.00,Paid
INV-10291,C-0147,Vashon Island Market,03/04/2026,04/03/2026,Net 30,USD,"23,144.60",0.00,"23,144.60",1.0000,"23,144.60",0.00,Paid
INV-10292,C-0399,Larch Mountain Mercantile,03/04/2026,04/03/2026,Net 30,USD,"22,944.72",0.00,"22,944.72",1.0000,"22,944.72",0.00,Paid
INV-10293,C-0186,Hawthorne Fresh Market,03/02/2026,04/01/2026,Net 30,USD,"11,080.87",0.00,"11,080.87",1.0000,"11,080.87",0.00,Paid
INV-10294,C-0216,Arbor Kitchen,02/26/2026,03/13/2026,Net 15,USD,"2,275.20",0.00,"2,275.20",1.0000,"2,275.20",0.00,Paid
INV-10295,C-0050,Aster Kitchen,02/27/2026,03/14/2026,Net 15,USD,717.71,0.00,717.71,1.0000,717.71,0.00,Paid
INV-10296,C-0045,Bridgetown Pantry,03/03/2026,04/02/2026,Net 30,USD,"27,093.40",0.00,"27,093.40",1.0000,"27,093.40",0.00,Paid
INV-10297,C-0107,Green Valley Co-op,03/03/2026,04/02/2026,Net 30,USD,"23,991.49",0.00,"23,991.49",1.0000,"23,991.49",0.00,Paid
INV-10298,C-0217,Paddle Eatery,02/27/2026,03/14/2026,Net 15,USD,961.81,0.00,961.81,1.0000,961.81,0.00,Paid
INV-10299,C-0330,Alder Street Market,03/04/2026,04/03/2026,Net 30,USD,"21,946.30",0.00,"21,946.30",1.0000,"21,946.30",0.00,Paid
INV-10300,C-0403,Basalt Grill,03/02/2026,03/17/2026,Net 15,USD,"1,484.18",0.00,"1,484.18",1.0000,"1,484.18",0.00,Paid
INV-10301,C-0412,Cedar & Salt Bistro,02/20/2026,03/07/2026,Net 15,USD,"2,980.00",0.00,"2,980.00",1.0000,"2,980.00",0.00,Paid
INV-10302,C-0046,Yakima Orchard Market,03/03/2026,04/02/2026,Net 30,USD,"15,968.08",0.00,"15,968.08",1.0000,"15,968.08",0.00,Paid
INV-10303,C-0357,Mountain Grocers LLC,03/03/2026,04/02/2026,Net 30,USD,"13,596.59",0.00,"13,596.59",1.0000,"13,596.59",0.00,Paid
INV-10304,C-0206,Otter Brasserie,03/02/2026,03/17/2026,Net 15,USD,"3,232.54",0.00,"3,232.54",1.0000,"3,232.54",0.00,Paid
INV-10305,C-0237,Plover Supper Club,03/02/2026,03/17/2026,Net 15,USD,"1,925.18",0.00,"1,925.18",1.0000,"1,925.18",0.00,Paid
INV-10306,C-0282,Yarrow Deli,03/02/2026,03/17/2026,Net 15,USD,"3,567.24",0.00,"3,567.24",1.0000,"3,567.24",0.00,Paid
INV-10307,C-0415,Kestrel Market Hall,03/02/2026,04/01/2026,Net 30,USD,"11,704.08",0.00,"11,704.08",1.0000,"11,704.08",0.00,Paid
INV-10308,C-0088,Palouse Provisions,03/04/2026,04/03/2026,Net 30,USD,"20,233.38",0.00,"20,233.38",1.0000,"20,233.38",0.00,Paid
INV-10309,C-0064,Juniper Hill Foods,03/09/2026,04/08/2026,Net 30,USD,"15,014.13",0.00,"15,014.13",1.0000,"15,014.13",0.00,Paid
INV-10310,C-0105,Whidbey Harvest Co-op,03/09/2026,04/08/2026,Net 30,USD,"22,560.52",0.00,"22,560.52",1.0000,"22,560.52",0.00,Paid
INV-10311,C-0306,Tillamook Road Grocery,03/09/2026,04/08/2026,Net 30,USD,"21,529.67",0.00,"21,529.67",1.0000,"21,529.67",0.00,Paid
INV-10312,C-0325,Cobalt Cafe,03/02/2026,03/17/2026,Net 15,USD,"2,810.94",0.00,"2,810.94",1.0000,"2,810.94",0.00,Paid
INV-10313,C-0329,Oxbow Smokehouse,03/02/2026,03/17/2026,Net 15,USD,"1,645.92",0.00,"1,645.92",1.0000,"1,645.92",0.00,Paid
INV-10314,C-0120,Saltbox Kitchen,03/03/2026,03/18/2026,Net 15,USD,"1,250.00",0.00,"1,250.00",1.0000,"1,250.00",0.00,Paid
INV-10315,C-0378,Yellowjacket Taproom,03/03/2026,03/18/2026,Net 15,USD,"1,590.40",0.00,"1,590.40",1.0000,"1,590.40",0.00,Paid
INV-10316,C-0406,Wharf Cantina,03/03/2026,03/18/2026,Net 15,USD,"3,614.39",0.00,"3,614.39",1.0000,"3,614.39",0.00,Paid
INV-10317,C-0177,Quarterdeck Tavern,03/04/2026,03/19/2026,Net 15,USD,"1,525.67",0.00,"1,525.67",1.0000,"1,525.67",0.00,Paid
INV-10318,C-0143,Gorge Valley Co-op,03/09/2026,04/08/2026,Net 30,USD,"15,743.40",0.00,"15,743.40",1.0000,"15,743.40",0.00,Paid
INV-10319,C-0163,Elk Rock Provisions,03/09/2026,04/08/2026,Net 30,USD,"17,058.13",0.00,"17,058.13",1.0000,"17,058.13",0.00,Paid
INV-10320,C-0012,Olallie Market,03/10/2026,04/09/2026,Net 30,USD,"17,135.71",0.00,"17,135.71",1.0000,"17,135.71",0.00,Paid
INV-10321,C-0047,Gable Brasserie,03/03/2026,03/18/2026,Net 15,USD,"1,879.42",0.00,"1,879.42",1.0000,"1,879.42",0.00,Paid
INV-10322,C-0083,Acorn Supper Club,03/03/2026,03/18/2026,Net 15,USD,"3,529.24",0.00,"3,529.24",1.0000,"3,529.24",0.00,Paid
INV-10323,C-0401,Pinewood Kitchen,03/03/2026,03/18/2026,Net 15,USD,"3,376.55",0.00,"3,376.55",1.0000,"3,376.55",0.00,Paid
INV-10324,C-0035,Velvet Taproom,03/05/2026,03/20/2026,Net 15,USD,"2,428.04",0.00,"2,428.04",1.0000,"2,428.04",0.00,Paid
INV-10325,C-0396,Driftwood Pantry,03/05/2026,04/04/2026,Net 30,USD,"17,397.59",0.00,"17,397.59",1.0000,"17,397.59",0.00,Paid
INV-10326,C-0033,Treasure Valley Market,03/09/2026,04/08/2026,Net 30,USD,"25,409.31",0.00,"25,409.31",1.0000,"25,409.31",0.00,Paid
INV-10327,C-0348,Foxglove Market,03/10/2026,04/09/2026,Net 30,USD,"25,441.84",0.00,"25,441.84",1.0000,"25,441.84",0.00,Paid
INV-10328,C-0027,Cascade Harvest Grocers,03/11/2026,04/10/2026,Net 30,USD,"12,981.31",0.00,"12,981.31",1.0000,"12,981.31",0.00,Paid
INV-10329,C-0090,Zigzag Mountain Grocery,03/11/2026,04/10/2026,Net 30,USD,"23,930.58",0.00,"23,930.58",1.0000,"23,930.58",0.00,Paid
INV-10330,C-0397,Fable Kitchen,03/04/2026,03/19/2026,Net 15,USD,928.60,0.00,928.60,1.0000,928.60,0.00,Paid
INV-10331,C-0283,Yardarm Smokehouse,03/05/2026,03/20/2026,Net 15,USD,"2,336.22",0.00,"2,336.22",1.0000,"2,336.22",0.00,Paid
INV-10332,C-0406,Wharf Cantina,03/05/2026,03/20/2026,Net 15,USD,"1,667.67",0.00,"1,667.67",1.0000,"1,667.67",0.00,Paid
INV-10333,C-0133,Sawtooth Natural Foods,03/09/2026,04/08/2026,Net 30,USD,"13,466.98",0.00,"13,466.98",1.0000,"13,466.98",0.00,Paid
INV-10334,C-0198,GREEN VALLEY COOP #2,03/09/2026,04/08/2026,Net 30,USD,"15,438.62",0.00,"15,438.62",1.0000,"15,438.62",0.00,Paid
INV-10335,C-0183,Madrona Food Co-op,03/12/2026,04/11/2026,Net 30,USD,"13,269.11",0.00,"13,269.11",1.0000,"13,269.11",0.00,Paid
INV-10336,C-0193,Quinault Country Store,03/05/2026,04/04/2026,Net 30,USD,"18,869.53",0.00,"18,869.53",1.0000,"18,869.53",0.00,Paid
INV-10337,C-0282,Yarrow Deli,03/05/2026,03/20/2026,Net 15,USD,"3,189.04",0.00,"3,189.04",1.0000,"3,189.04",0.00,Paid
INV-10338,C-0369,Eddy Pizzeria,03/05/2026,03/20/2026,Net 15,USD,"1,154.06",0.00,"1,154.06",1.0000,"1,154.06",0.00,Paid
INV-10339,C-0122,Owyhee Mercantile,03/13/2026,04/12/2026,Net 30,USD,"21,953.97",0.00,"21,953.97",1.0000,"21,953.97",0.00,Paid
INV-10340,C-0200,Ember Lane Grocers,03/13/2026,04/12/2026,Net 30,USD,"16,980.43",0.00,"16,980.43",1.0000,"16,980.43",0.00,Paid
