Posted Date,Description,Amount,Balance,Reference
2026-02-05,ACH DEBIT RIDGEWIRE TELECOM CCD,-1299.56,1057953.75,734668039537222
2026-02-05,ACH DEBIT DESCHUTES BREWING  CCD,-10979.54,1046974.21,404539734788932
2026-02-05,ACH DEBIT PACIFIC COAST PACK CCD,-7620.55,1039353.66,816290493093066
2026-02-05,ACH DEBIT ROGUE VALLEY CHEES CCD,-25295.92,1014057.74,822605599190473
2026-02-05,ACH DEBIT MT. HOOD BERRY FAR CCD,-17706.23,996351.51,594418744370372
2026-02-05,ACH DEBIT COWLITZ CREEK FARM CCD,-15339.14,981012.37,641605632673502
2026-02-05,ACH DEBIT PACIFIC FLEET FUEL CCD,-3042.82,977969.55,576650467966009
2026-02-05,ACH DEBIT CROWN LINEN & UNIF CCD,-648.22,977321.33,054249734084884
2026-02-05,ACH DEBIT NORTHWEST REEFER T CCD,-6580.10,970741.23,661017745551913
2026-02-05,ACH DEBIT METHOW VALLEY APPL CCD,-8704.76,962036.47,929971255785284
2026-02-05,ACH DEBIT SOUND CARTAGE CO. CCD,-1973.63,960062.84,576865016760859
2026-02-05,ACH DEBIT SIUSLAW CRANBERRY  CCD,-8293.83,951769.01,293304727373122
2026-02-05,ACH DEBIT NEWBERG NUT GROWER CCD,-3815.87,947953.14,651300808843601
2026-02-05,ACH DEBIT PAYETTE VALLEY BEE CCD,-12213.34,935739.80,099780167225108
2026-02-05,ACH DEBIT SNAKE RIVER TROUT  CCD,-11835.92,923903.88,270995585926045
2026-02-05,ACH DEBIT COQUILLE DAIRY COO CCD,-4476.58,919427.30,484088340165490
2026-02-05,ACH DEBIT METRO WASTE HAULER CCD,-757.10,918670.20,132288751155806
2026-02-05,ACH DEBIT WILLAMETTE VALLEY  CCD,-8892.64,909777.56,988242488381965
2026-02-05,ACH DEBIT HOOD CANAL OYSTER  CCD,-11842.08,897935.48,105771677560938
2026-02-05,ACH DEBIT COLUMBIA GORGE ORC CCD,-13492.58,884442.90,325342268260057
2026-02-05,ACH DEBIT PALOUSE LENTIL GRO CCD,-14550.46,869892.44,426430031378155
2026-02-05,ACH DEBIT HERMISTON MELON FA CCD,-11714.42,858178.02,344415463841846
2026-02-06,REMOTE DEPOSIT CAPTURE,3588.14,861766.16,766
2026-02-06,REMOTE DEPOSIT CAPTURE,4548.40,866314.56,3214
2026-02-06,ACH CREDIT HERON CAFE PPD,3165.40,869479.96,246705843491722
2026-02-06,ACH CREDIT ROSE CITY MARKET PPD,11722.27,881202.23,835608666250313
2026-02-06,REMOTE DEPOSIT CAPTURE,2579.46,883781.69,364
2026-02-06,REMOTE DEPOSIT CAPTURE,2865.84,886647.53,9983
2026-02-06,CHECK 40145,-9519.17,877128.36,40145
2026-02-06,CHECK 40150,-1723.00,875405.36,40150
2026-02-06,CHECK 40153,-9545.78,865859.58,40153
2026-02-09,REMOTE DEPOSIT CAPTURE,28132.32,893991.90,1258
2026-02-09,REMOTE DEPOSIT CAPTURE,24402.98,918394.88,1472
2026-02-09,ACH CREDIT JUNIPER HILL FOO PPD,11061.71,929456.59,074338191535013
2026-02-09,ACH CREDIT PIONEER SQUARE P PPD,14666.78,944123.37,816590738250730
2026-02-09,ACH CREDIT WHIDBEY HARVEST  PPD,22320.36,966443.73,382311569541272
2026-02-09,REMOTE DEPOSIT CAPTURE,915.46,967359.19,6908
2026-02-09,ACH CREDIT GORGE VALLEY CO- PPD,20662.61,988021.80,519428734096092
2026-02-09,ACH CREDIT HAWTHORNE FRESH  PPD,20626.27,1008648.07,475684128274990
2026-02-09,REMOTE DEPOSIT CAPTURE,3466.37,1012114.44,1477
2026-02-09,REMOTE DEPOSIT CAPTURE,2410.22,1014524.66,3401
2026-02-09,ACH CREDIT ISLE SMOKEHOUSE PPD,2282.07,1016806.73,535300592899411
2026-02-09,REMOTE DEPOSIT CAPTURE,2480.66,1019287.39,8454
2026-02-09,REMOTE DEPOSIT CAPTURE,3121.16,1022408.55,8595
2026-02-09,REMOTE DEPOSIT CAPTURE,1726.37,1024134.92,4224
2026-02-09,CHECK 40158,-9151.05,1014983.87,40158
2026-02-09,CHECK 40163,-9340.26,1005643.61,40163
2026-02-09,CHECK 40166,-11894.04,993749.57,40166
2026-02-09,CHECK 40169,-14438.98,979310.59,40169
2026-02-10,REMOTE DEPOSIT CAPTURE,1176.23,980486.82,4536
2026-02-10,ACH CREDIT GABLE BRASSERIE PPD,2048.80,982535.62,403818176994800
2026-02-10,REMOTE DEPOSIT CAPTURE,24171.28,1006706.90,8029
2026-02-10,REMOTE DEPOSIT CAPTURE,3956.19,1010663.09,564
2026-02-10,ACH CREDIT VALE BRASSERIE PPD,2444.12,1013107.21,639853883988718
2026-02-10,REMOTE DEPOSIT CAPTURE,20533.19,1033640.40,4497
2026-02-10,ACH CREDIT MOUNTAIN GROCERS PPD,11321.11,1044961.51,053065930952009
2026-02-10,CHECK 40161,-19835.58,1025125.93,40161
2026-02-10,CHECK 40164,-23974.38,1001151.55,40164
2026-02-10,CHECK 40165,-1589.02,999562.53,40165
2026-02-10,FIRST CASCADE LOAN PMT 7719,-6299.52,993263.01,
2026-02-11,REMOTE DEPOSIT CAPTURE,13382.94,1006645.95,4449
2026-02-11,ACH CREDIT JACKDAW KITCHEN PPD,2104.32,1008750.27,009443485642507
2026-02-11,CHECK 40157,-4598.67,1004151.60,40157
2026-02-11,CHECK 40162,-25126.79,979024.81,40162
2026-02-11,CHECK 40167,-5792.55,973232.26,40167
2026-02-11,CHECK 40168,-15512.51,957719.75,40168
2026-02-12,ACH CREDIT OWYHEE MERCANTIL PPD,26244.54,983964.29,474538597611475
2026-02-12,ACH CREDIT HOLLOW NOODLE HO PPD,834.21,984798.50,536953523738453
2026-02-12,REMOTE DEPOSIT CAPTURE,2944.57,987743.07,5346
2026-02-12,ACH CREDIT ZEPHYR BAKERY PPD,3334.78,991077.85,451318527288899
2026-02-12,ACH CREDIT ROOKERY CAFE PPD,1812.51,992890.36,612636198709110
2026-02-12,CHECK 40160,-14042.95,978847.41,40160
2026-02-12,ACH DEBIT CLEARWATER CREAMER CCD,-8498.62,970348.79,333749869245929
2026-02-12,ACH DEBIT PACIFIC COAST PACK CCD,-7907.90,962440.89,328668706617700
2026-02-12,ACH DEBIT TALENT BRIDGE STAF CCD,-2226.48,960214.41,813846122284032
2026-02-12,ACH DEBIT STUMPTOWN OFFICE S CCD,-645.85,959568.56,290099206237837
2026-02-12,ACH DEBIT RIDGELINE EXPRESS CCD,-1557.30,958011.26,650331352504128
2026-02-12,ACH DEBIT WILLAMETTE SANITAT CCD,-518.98,957492.28,207095926052150
2026-02-12,ACH DEBIT PUGET SOUND SHELLF CCD,-15690.27,941802.01,680666322095613
2026-02-12,ACH DEBIT COWLITZ CREEK FARM CCD,-8066.71,933735.30,062810771721695
2026-02-12,ACH DEBIT COLUMBIA RIVER FRE CCD,-3767.98,929967.32,123313778272094
2026-02-12,ACH DEBIT NOOKSACK BERRY GRO CCD,-6733.44,923233.88,582437878591433
2026-02-12,ACH DEBIT YAKIMA HOP & HERB CCD,-9912.63,913321.25,105158770931484
2026-02-12,ACH DEBIT CLOUDLEDGER SOFTWA CCD,-615.10,912706.15,043146975088631
2026-02-12,ACH DEBIT WALLA WALLA ONION  CCD,-5122.01,907584.14,796740890243009
2026-02-12,ACH DEBIT PACIFIC FLEET FUEL CCD,-1833.05,905751.09,662905675043854
2026-02-12,ACH DEBIT CROWN LINEN & UNIF CCD,-532.00,905219.09,920032625146928
2026-02-12,ACH DEBIT CHEHALIS VALLEY EG CCD,-9183.58,896035.51,090692002482547
2026-02-12,ACH DEBIT NORTHGATE IT PARTN CCD,-2092.17,893943.34,419446360049591
2026-02-12,ACH DEBIT METHOW VALLEY APPL CCD,-4789.97,889153.37,965549088200869
2026-02-12,ACH DEBIT SOUND CARTAGE CO. CCD,-1839.24,887314.13,891289226796500
2026-02-12,ACH DEBIT CHINOOK SMOKEHOUSE CCD,-13413.28,873900.85,750081622710836
2026-02-12,ACH DEBIT TREASURE VALLEY TR CCD,-3948.09,869952.76,031073178777730
2026-02-12,ACH DEBIT SIUSLAW CRANBERRY  CCD,-7143.54,862809.22,480396915193002
2026-02-12,ACH DEBIT BITTERROOT BAKEHOU CCD,-13833.14,848976.08,998134538158047
2026-02-12,ACH DEBIT MCKENZIE RIVER MIL CCD,-4366.41,844609.67,011823440484926
2026-02-12,ACH DEBIT NEWBERG NUT GROWER CCD,-8806.80,835802.87,226034567806727
2026-02-12,ACH DEBIT TETON VALLEY TROUT CCD,-7645.24,828157.63,956944010247828
2026-02-12,ACH DEBIT PORTLAND FLEET WAS CCD,-220.66,827936.97,009089816275599
2026-02-12,ACH DEBIT SNAKE RIVER TROUT  CCD,-9780.62,818156.35,984840042754059
2026-02-12,ACH DEBIT COQUILLE DAIRY COO CCD,-4503.89,813652.46,016346699364732
2026-02-12,ACH DEBIT COASTLINE SHREDDIN CCD,-162.12,813490.34,432383175540166
2026-02-12,ACH DEBIT WILLAMETTE VALLEY  CCD,-6268.62,807221.72,048308079518527
2026-02-12,ACH DEBIT BOARDMAN TREE FRUI CCD,-9715.50,797506.22,119495529384837
2026-02-12,ACH DEBIT HOOD CANAL OYSTER  CCD,-10879.76,786626.46,867508977597014
2026-02-12,ACH DEBIT WALLOWA GRASS-FED  CCD,-13301.54,773324.92,470604136944625
2026-02-12,ACH DEBIT COLUMBIA GORGE ORC CCD,-6537.94,766786.98,072889233291613
2026-02-12,ACH DEBIT UMPQUA OAT MILL CCD,-11613.49,755173.49,966352615376964
2026-02-13,REMOTE DEPOSIT CAPTURE,20237.07,775410.56,6797
2026-02-13,REMOTE DEPOSIT CAPTURE,21808.73,797219.29,5020
2026-02-13,ACH CREDIT DUNE CANTINA PPD,2621.28,799840.57,455847205463739
2026-02-13,REMOTE DEPOSIT CAPTURE,20914.11,820754.68,8657
2026-02-13,CHECK 40156,-15054.62,805700.06,40156
2026-02-13,CHECK 40159,-13562.57,792137.49,40159
2026-02-13,PINNACLE PAYROLL SVCS PAYROLL DD,-160300.76,631836.73,
2026-02-16,ACH CREDIT YAKIMA ORCHARD M PPD,19535.38,651372.11,372245618074034
2026-02-16,ACH CREDIT RIVERBEND NATURA PPD,26284.34,677656.45,882145491466506
2026-02-16,REMOTE DEPOSIT CAPTURE,2608.97,680265.42,6245
2026-02-16,REMOTE DEPOSIT CAPTURE,1667.20,681932.62,3713
2026-02-16,ACH CREDIT JETTY TAVERN PPD,2694.65,684627.27,648698190161562
2026-02-16,REMOTE DEPOSIT CAPTURE,3932.30,688559.57,121
2026-02-16,ACH CREDIT MADRONA FOOD CO- PPD,22616.89,711176.46,870579874638927
2026-02-16,REMOTE DEPOSIT CAPTURE,13016.48,724192.94,4713
2026-02-16,ACH CREDIT ROSE CITY MARKET PPD,11612.23,735805.17,796055846932538
2026-02-16,ACH CREDIT ALDER STREET MAR PPD,27617.55,763422.72,268455324539866
2026-02-16,ACH CREDIT IRONWOOD GROCERY PPD,21355.33,784778.05,402940575837170
2026-02-16,REMOTE DEPOSIT CAPTURE,16790.93,801568.98,2849
2026-02-16,REMOTE DEPOSIT CAPTURE,1226.70,802795.68,8366
2026-02-16,ACH CREDIT FILBERT & OAK MA PPD,16651.24,819446.92,020964977416368
2026-02-16,REMOTE DEPOSIT CAPTURE,22349.98,841796.90,319
2026-02-16,ACH CREDIT DESCHUTES FOOD H PPD,26717.74,868514.64,033386693922409
2026-02-16,CHECK 40171,-12337.84,856176.80,40171
2026-02-16,CHECK 40177,-9173.22,847003.58,40177
2026-02-16,CHECK 40181,-7310.39,839693.19,40181
2026-02-17,REMOTE DEPOSIT CAPTURE,3386.36,843079.55,4402
2026-02-17,REMOTE DEPOSIT CAPTURE,25719.27,868798.82,521
2026-02-17,REMOTE DEPOSIT CAPTURE,841.09,869639.91,2431
2026-02-17,REMOTE DEPOSIT CAPTURE,3167.86,872807.77,4361
2026-02-17,ACH CREDIT BASALT GRILL PPD,867.36,873675.13,422067891456397
2026-02-17,ACH CREDIT SALT MARSH KITCH PPD,1855.36,875530.49,147709479661690
2026-02-17,CHECK 40170,-2916.22,872614.27,40170
2026-02-17,CHECK 40175,-4807.61,867806.66,40175
2026-02-17,CHECK 40183,-4358.80,863447.86,40183
2026-02-18,REMOTE DEPOSIT CAPTURE,23029.88,886477.74,2267
2026-02-18,ACH CREDIT MOSSY ROCK TAPRO PPD,2756.06,889233.80,730002808082559
2026-02-18,ACH CREDIT ISLE SMOKEHOUSE PPD,2353.10,891586.90,715474951080987
2026-02-18,REMOTE DEPOSIT CAPTURE,19165.49,910752.39,2454
2026-02-18,CHECK 40172,-14847.08,895905.31,40172
2026-02-18,CHECK 40176,-14860.32,881044.99,40176
2026-02-18,CHECK 40179,-6920.91,874124.08,40179
2026-02-18,CHECK 40180,-1578.95,872545.13,40180
2026-02-19,ACH CREDIT PARSNIP PIZZERIA PPD,4034.80,876579.93,139427238569709
2026-02-19,REMOTE DEPOSIT CAPTURE,20213.39,896793.32,1315
2026-02-19,REMOTE DEPOSIT CAPTURE,6419.12,903212.44,6802
2026-02-19,REMOTE DEPOSIT CAPTURE,25820.98,929033.42,2474
2026-02-19,ACH CREDIT UMPQUA VALLEY FO PPD,26136.60,955170.02,870941252967454
2026-02-19,ACH DEBIT DESCHUTES BREWING  CCD,-11689.62,943480.40,461104044256743
2026-02-19,ACH DEBIT CLEARWATER CREAMER CCD,-14496.02,928984.38,138809410002894
2026-02-19,ACH DEBIT PACIFIC COAST PACK CCD,-2846.99,926137.39,509779549316175
2026-02-19,ACH DEBIT RIDGELINE EXPRESS CCD,-453.66,925683.73,858653591853001
2026-02-19,ACH DEBIT WILLAMETTE SANITAT CCD,-272.79,925410.94,725481142142594
2026-02-19,ACH DEBIT ROGUE VALLEY CHEES CCD,-14171.36,911239.58,010957723754629
2026-02-19,ACH DEBIT COLUMBIA RIVER FRE CCD,-2076.76,909162.82,456060808504811
2026-02-19,ACH DEBIT YAKIMA HOP & HERB CCD,-7715.45,901447.37,328569394321200
2026-02-19,ACH DEBIT WALLA WALLA ONION  CCD,-13921.38,887525.99,677054910493604
2026-02-19,ACH DEBIT BRIGHTLINE JANITOR CCD,-1573.27,885952.72,823648385476724
2026-02-19,ACH DEBIT PACIFIC FLEET FUEL CCD,-2106.69,883846.03,609425608896158
2026-02-19,ACH DEBIT NORTHWEST REEFER T CCD,-6917.79,876928.24,456119333110293
2026-02-19,ACH DEBIT METHOW VALLEY APPL CCD,-5939.74,870988.50,791171199885083
2026-02-19,ACH DEBIT SOUND CARTAGE CO. CCD,-2857.71,868130.79,745119104489751
2026-02-19,ACH DEBIT CHINOOK SMOKEHOUSE CCD,-11971.93,856158.86,386122827476898
2026-02-19,ACH DEBIT LUMMI BAY SEAFOOD CCD,-9573.84,846585.02,891717411768446
2026-02-19,ACH DEBIT BITTERROOT BAKEHOU CCD,-14132.93,832452.09,313704943782562
2026-02-19,ACH DEBIT MCKENZIE RIVER MIL CCD,-11242.63,821209.46,414712221178094
2026-02-19,ACH DEBIT TETON VALLEY TROUT CCD,-12471.74,808737.72,829249796147004
2026-02-19,ACH DEBIT PAYETTE VALLEY BEE CCD,-9339.13,799398.59,440728072997290
2026-02-19,ACH DEBIT SNAKE RIVER TROUT  CCD,-15551.57,783847.02,127859762542299
2026-02-19,ACH DEBIT WILLAMETTE VALLEY  CCD,-9472.42,774374.60,628881342841674
2026-02-19,ACH DEBIT HOOD CANAL OYSTER  CCD,-11669.97,762704.63,924188027494119
2026-02-19,ACH DEBIT WALLOWA GRASS-FED  CCD,-12078.21,750626.42,899821781528762
2026-02-19,ACH DEBIT COLUMBIA GORGE ORC CCD,-14100.58,736525.84,329611412481342
2026-02-19,ACH DEBIT PALOUSE LENTIL GRO CCD,-18031.86,718493.98,178059624044768
2026-02-19,ACH DEBIT HERMISTON MELON FA CCD,-7937.93,710556.05,710825027193200
2026-02-20,REMOTE DEPOSIT CAPTURE,24848.73,735404.78,2613
2026-02-20,ACH CREDIT JUNIPER HILL FOO PPD,16007.25,751412.03,927323545385870
2026-02-20,REMOTE DEPOSIT CAPTURE,28593.39,780005.42,9228
2026-02-20,ACH CREDIT FOXGLOVE MARKET PPD,16546.44,796551.86,491507502370157
2026-02-20,ACH CREDIT KESTREL MARKET H PPD,22462.20,819014.06,638464448229718
2026-02-20,CHECK 40173,-4714.95,814299.11,40173
2026-02-20,CHECK 40174,-1116.17,813182.94,40174
2026-02-20,CHECK 40178,-11688.91,801494.03,40178
2026-02-20,CHECK 40182,-6992.20,794501.83,40182
2026-02-23,ACH CREDIT ALPINE EATERY PPD,1707.08,796208.91,854592504807514
2026-02-23,REMOTE DEPOSIT CAPTURE,1451.87,797660.78,3681
2026-02-23,REMOTE DEPOSIT CAPTURE,2929.56,800590.34,5680
2026-02-23,REMOTE DEPOSIT CAPTURE,2912.70,803503.04,7653
2026-02-23,ACH CREDIT GORGE VALLEY CO- PPD,11675.59,815178.63,722062256886782
2026-02-23,REMOTE DEPOSIT CAPTURE,3419.34,818597.97,2987
2026-02-23,ACH CREDIT HOLLOW NOODLE HO PPD,3816.24,822414.21,197392321271265
2026-02-23,ACH CREDIT ELK ROCK PROVISI PPD,22671.84,845086.05,292736505528876
2026-02-23,ACH CREDIT MADRONA FOOD CO- PPD,16429.39,861515.44,149590361352905
2026-02-23,REMOTE DEPOSIT CAPTURE,1617.39,863132.83,35
2026-02-23,CHECK 40188,-11433.66,851699.17,40188
2026-02-23,CHECK 40197,-13268.64,838430.53,40197
2026-02-24,ACH CREDIT BELMONT NATURAL  PPD,12909.07,851339.60,753987533338016
2026-02-24,CHECK 40189,-4524.02,846815.58,40189
2026-02-24,CHECK 40190,-5631.81,841183.77,40190
2026-02-25,ACH CREDIT HERON CAFE PPD,2168.56,843352.33,933639342412619
2026-02-25,ACH CREDIT SAWTOOTH NATURAL PPD,20378.49,863730.82,333321714211586
2026-02-25,ACH CREDIT MOUNTAIN GROCERS PPD,23014.49,886745.31,108609015335017
2026-02-25,REMOTE DEPOSIT CAPTURE,2133.20,888878.51,6838
2026-02-25,REMOTE DEPOSIT CAPTURE,20716.65,909595.16,9970
2026-02-25,CHECK 40186,-3824.60,905770.56,40186
2026-02-25,CHECK 40187,-15102.20,890668.36,40187
2026-02-25,CHECK 40191,-12371.77,878296.59,40191
2026-02-25,CHECK 40193,-11051.18,867245.41,40193
2026-02-25,CHECK 40194,-7430.78,859814.63,40194
2026-02-25,FIRST CASCADE LOC INTEREST 5512,-5491.25,854323.38,
2026-02-25,FIRST CASCADE LOC ADVANCE 5512,55000.00,909323.38,
2026-02-26,ACH CREDIT JUNIPER HILL FOO PPD,21526.81,930850.19,115472955249975
2026-02-26,ACH CREDIT SEXTANT BAKERY PPD,1250.19,932100.38,695817494695638
2026-02-26,REMOTE DEPOSIT CAPTURE,11590.08,943690.46,5345
2026-02-26,REMOTE DEPOSIT CAPTURE,22934.97,966625.43,250
2026-02-26,CHECK 40185,-13430.54,953194.89,40185
2026-02-26,CHECK 40196,-11076.39,942118.50,40196
2026-02-26,ACH DEBIT DESCHUTES BREWING  CCD,-10697.47,931421.03,355666112261614
2026-02-26,ACH DEBIT PACIFIC COAST PACK CCD,-6082.29,925338.74,068179646449939
2026-02-26,ACH DEBIT TALENT BRIDGE STAF CCD,-4264.82,921073.92,077819970261582
2026-02-26,ACH DEBIT STUMPTOWN OFFICE S CCD,-162.67,920911.25,607446545803366
2026-02-26,ACH DEBIT RIDGELINE EXPRESS CCD,-1056.79,919854.46,350378641223914
2026-02-26,ACH DEBIT PUGET SOUND SHELLF CCD,-9828.51,910025.95,036808409944987
2026-02-26,ACH DEBIT MT. HOOD BERRY FAR CCD,-12447.52,897578.43,776361279029861
2026-02-26,ACH DEBIT COWLITZ CREEK FARM CCD,-14405.40,883173.03,004536394662693
2026-02-26,ACH DEBIT COLUMBIA RIVER FRE CCD,-896.28,882276.75,853138750430842
2026-02-26,ACH DEBIT NOOKSACK BERRY GRO CCD,-8933.30,873343.45,261467697613219
2026-02-26,ACH DEBIT WALLA WALLA ONION  CCD,-12878.90,860464.55,025300718543529
2026-02-26,ACH DEBIT BRIGHTLINE JANITOR CCD,-1642.04,858822.51,647863333621374
2026-02-26,ACH DEBIT PACIFIC FLEET FUEL CCD,-3584.63,855237.88,006448301009903
2026-02-26,ACH DEBIT BEAVERTON FORKLIFT CCD,-4395.23,850842.65,224910551666528
2026-02-26,ACH DEBIT CHEHALIS VALLEY EG CCD,-12850.59,837992.06,977594771640697
2026-02-26,ACH DEBIT NORTHWEST REEFER T CCD,-1699.23,836292.83,798901376453629
2026-02-26,ACH DEBIT SOUND CARTAGE CO. CCD,-635.24,835657.59,260176577016352
2026-02-26,ACH DEBIT PORTLAND GENERAL U CCD,-1236.07,834421.52,237687494514831
2026-02-26,ACH DEBIT CHINOOK SMOKEHOUSE CCD,-12306.90,822114.62,782938778778665
2026-02-26,ACH DEBIT TREASURE VALLEY TR CCD,-4591.49,817523.13,702461673162690
2026-02-26,ACH DEBIT SIUSLAW CRANBERRY  CCD,-12859.33,804663.80,881344227642910
2026-02-26,ACH DEBIT LUMMI BAY SEAFOOD CCD,-4915.22,799748.58,160778197256675
2026-02-26,ACH DEBIT MCKENZIE RIVER MIL CCD,-7969.00,791779.58,960462402879267
2026-02-26,ACH DEBIT NEWBERG NUT GROWER CCD,-15717.79,776061.79,050818542812386
2026-02-26,ACH DEBIT PAYETTE VALLEY BEE CCD,-12993.69,763068.10,110975868175508
2026-02-26,ACH DEBIT COQUILLE DAIRY COO CCD,-15111.58,747956.52,262887621448097
2026-02-26,ACH DEBIT COLUMBIA BASIN WAT CCD,-592.12,747364.40,067568493722962
2026-02-26,ACH DEBIT WILLAMETTE VALLEY  CCD,-15647.67,731716.73,351289122406945
2026-02-26,ACH DEBIT BOARDMAN TREE FRUI CCD,-10792.66,720924.07,527513429042088
2026-02-26,ACH DEBIT UMPQUA OAT MILL CCD,-14391.09,706532.98,108677459515572
2026-02-26,ACH DEBIT EVERGREEN BOX & FI CCD,-5006.00,701526.98,388102790709306
2026-02-27,REMOTE DEPOSIT CAPTURE,24375.08,725902.06,6827
2026-02-27,REMOTE DEPOSIT CAPTURE,13070.19,738972.25,523
2026-02-27,REMOTE DEPOSIT CAPTURE,2338.71,741310.96,100
2026-02-27,ACH CREDIT FILBERT & OAK MA PPD,24112.32,765423.28,121168560994255
2026-02-27,ACH CREDIT DRIFTWOOD PANTRY PPD,28943.77,794367.05,720629304159821
2026-02-27,CHECK 40184,-9617.98,784749.07,40184
2026-02-27,CHECK 40192,-3492.09,781256.98,40192
2026-02-27,CHECK 40195,-5046.20,776210.78,40195
2026-02-27,PINNACLE PAYROLL SVCS PAYROLL DD,-141589.81,634620.97,
2026-02-27,MONTHLY MAINTENANCE FEE,-45.00,634575.97,
2026-03-02,ACH CREDIT PIONEER SQUARE P PPD,21307.66,655883.63,769130076518548
2026-03-02,ACH CREDIT COPPERLEAF BRASS PPD,2233.93,658117.56,711559463250500
2026-03-02,ACH CREDIT WHIDBEY HARVEST  PPD,22021.92,680139.48,582660912433978
2026-03-02,ACH CREDIT JETTY TAVERN PPD,2234.55,682374.03,598210503496098
2026-03-02,ACH CREDIT VASHON ISLAND MA PPD,23589.85,705963.88,095893969439733
2026-03-02,ACH CREDIT ELK ROCK PROVISI PPD,15077.19,721041.07,542260041382611
2026-03-02,ACH CREDIT DUNE CANTINA PPD,2286.68,723327.75,303178982183599
2026-03-02,ACH CREDIT HAWTHORNE FRESH  PPD,22832.55,746160.30,365708596560761
2026-03-02,REMOTE DEPOSIT CAPTURE,1237.45,747397.75,919
2026-03-02,ACH CREDIT IRONWOOD GROCERY PPD,11769.07,759166.82,488941608237844
2026-03-02,REMOTE DEPOSIT CAPTURE,20927.01,780093.83,4804
2026-03-02,ACH CREDIT FOXGLOVE MARKET PPD,20363.41,800457.24,385430521510162
2026-03-02,ACH CREDIT MARROW BRASSERIE PPD,2421.00,802878.24,232157512314192
2026-03-02,ACH CREDIT DESCHUTES FOOD H PPD,28242.76,831121.00,421596804278534
2026-03-02,CHECK 40201,-6464.59,824656.41,40201
2026-03-02,CHECK 40202,-3784.14,820872.27,40202
2026-03-02,ACH DEBIT GOWEN FIELD COMMER CCD,-4875.00,815997.27,107927222417969
2026-03-02,ACH DEBIT LOMBARD STREET PRO CCD,-8500.00,807497.27,184537425699965
2026-03-02,ACH DEBIT DUWAMISH INDUSTRIA CCD,-6420.00,801077.27,890606755505347
2026-03-03,ACH CREDIT YAKIMA ORCHARD M PPD,14521.32,815598.59,049710278373602
2026-03-03,ACH CREDIT GULL EATERY PPD,990.78,816589.37,543344446253756
2026-03-03,ACH CREDIT OWYHEE MERCANTIL PPD,25699.62,842288.99,812840273622285
2026-03-03,ACH CREDIT ALDER STREET MAR PPD,16639.26,858928.25,485544535947981
2026-03-03,ACH CREDIT DOVETAIL TAPROOM PPD,2911.95,861840.20,111269037173607
2026-03-03,ACH CREDIT QUILL GRILL PPD,1186.49,863026.69,458468049010028
2026-03-03,REMOTE DEPOSIT CAPTURE,17065.87,880092.56,9717
2026-03-03,REMOTE DEPOSIT CAPTURE,1633.06,881725.62,5888
2026-03-03,CHECK 40203,-1787.39,879938.23,40203
2026-03-03,CHECK 40206,-9373.41,870564.82,40206
2026-03-03,CHECK 40207,-4510.66,866054.16,40207
2026-03-03,CHECK 40211,-6025.79,860028.37,40211
2026-03-03,CHECK 40214,-5721.27,854307.10,40214
2026-03-03,CHECK 40216,-261.75,854045.35,40216
2026-03-03,CHECK 40217,-4246.46,849798.89,40217
2026-03-04,REMOTE DEPOSIT CAPTURE,3927.04,853725.93,8346
2026-03-04,REMOTE DEPOSIT CAPTURE,2369.46,856095.39,9661
2026-03-04,ACH CREDIT VALE BRASSERIE PPD,871.18,856966.57,723119929626931
2026-03-04,ACH CREDIT NIMBUS CAFE PPD,1397.16,858363.73,365540853519235
2026-03-04,REMOTE DEPOSIT CAPTURE,3058.38,861422.11,7680
2026-03-04,CHECK 40198,-8618.55,852803.56,40198
2026-03-04,CHECK 40204,-13646.68,839156.88,40204
2026-03-04,CHECK 40212,-5330.03,833826.85,40212
2026-03-04,CHECK 40215,-11171.16,822655.69,40215
2026-03-05,REMOTE DEPOSIT CAPTURE,23546.12,846201.81,9873
2026-03-05,REMOTE DEPOSIT CAPTURE,3868.65,850070.46,6326
2026-03-05,CHECK 40208,-13377.61,836692.85,40208
2026-03-05,CHECK 40209,-14138.24,822554.61,40209
2026-03-05,ACH DEBIT DESCHUTES BREWING  CCD,-14421.40,808133.21,784098088698786
2026-03-05,ACH DEBIT CLEARWATER CREAMER CCD,-24261.53,783871.68,741680252868260
2026-03-05,ACH DEBIT PACIFIC COAST PACK CCD,-8621.94,775249.74,273270797850272
2026-03-05,ACH DEBIT RIDGELINE EXPRESS CCD,-1388.36,773861.38,482840390320268
2026-03-05,ACH DEBIT ROGUE VALLEY CHEES CCD,-13986.33,759875.05,229216613061175
2026-03-05,ACH DEBIT MT. HOOD BERRY FAR CCD,-4918.96,754956.09,101084154233990
2026-03-05,ACH DEBIT COWLITZ CREEK FARM CCD,-15736.76,739219.33,989853996262899
2026-03-05,ACH DEBIT NOOKSACK BERRY GRO CCD,-15620.67,723598.66,281030900888645
2026-03-05,ACH DEBIT YAKIMA HOP & HERB CCD,-9263.05,714335.61,182933022400329
2026-03-05,ACH DEBIT PACIFIC FLEET FUEL CCD,-1888.15,712447.46,510280050199821
2026-03-05,ACH DEBIT SALEM PALLET RECYC CCD,-1174.64,711272.82,545501014079380
2026-03-05,ACH DEBIT CROWN LINEN & UNIF CCD,-689.15,710583.67,073998390498756
2026-03-05,ACH DEBIT MILL CREEK TEMP CO CCD,-777.83,709805.84,327262140703234
